"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 18;  Democracy Status 20;  Trend Democracy;;  Economy Status 18;  Economy Status 20;  Trend Economy;;  Governance Index 18;  Governance Index 20;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  Failed State;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Benin;3;42;6,43;21;7,75;8,3;9;9;9;6;8,3;9;9;8;7;6,5;7;6;5;8;9,0;8;10;6,8;4;8;9;6;80;5,11;2,0;2;5,8;5;5;7;6;7,5;8;7;6,5;6;7;3,5;3;4;6,0;6;4,5;5;4;24;6,06;5,3;8;3;2;8;7;3,6;6,77;6,3;6;6;7;5,3;5;6;5;7,8;8;9;8;6;n/a;7,7;7;8;8;;;7,85;7,75;-0,10;â;5,00;5,11;0,11;â;5,86;6,06;0,20;â;;;9;9;8;7;7;8;7,5;0;Dem.;;;6,43;3;Limited;7,75;2;Defective democracies;5,11;3;Limited;6,06;2;Good;5,3;3;Moderate;6,77;2;Sound
Bhutan;7;47;6,28;40;6,85;7,3;8;7;7;7;7,0;8;7;6;7;7,3;7;7;8;7;8,0;8;8;4,8;5;3;6;5;62;5,71;5,0;5;4,5;5;3;5;5;5,5;5;6;7,5;8;7;4,5;4;5;7,0;7;6,0;8;4;13;6,67;6,0;6;9;2;7;8;3,8;7,33;7,3;7;8;7;7,7;7;7;9;6,0;7;7;7;5;4;8,3;9;9;7;;;6,57;6,85;0,28;â;5,93;5,71;-0,21;â;6,50;6,67;0,18;â;;;8;7;6;7;7;7;7,5;0;Dem.;;;6,28;3;Limited;6,85;2;Defective democracies;5,71;3;Limited;6,67;2;Good;6,0;3;Moderate;7,33;2;Sound
Bolivia;2;49;6,22;41;6,80;8,5;8;9;10;7;8,0;9;9;7;7;5,3;5;5;5;6;6,0;6;6;6,3;6;7;6;6;66;5,64;4,0;4;6,0;4;6;7;7;7,5;8;7;5,0;5;5;5,0;5;5;7,0;7;5,0;5;5;46;5,45;5,2;7;6;5;6;3;4,1;6,10;6,7;7;7;6;4,7;4;6;4;6,4;5;7;6;7;7;6,7;7;6;7;;;7,20;6,80;-0,40;â;5,71;5,64;-0,07;â;5,66;5,45;-0,21;â;;;9;9;7;7;5;6;7,5;0;Dem.;;;6,22;3;Limited;6,80;2;Defective democracies;5,64;3;Limited;5,45;3;Moderate;5,2;3;Moderate;6,10;2;Sound
Bosnia and Herzegovina;1;53;6,11;68;5,75;6,8;8;4;8;7;6,3;6;6;7;6;6,0;7;5;5;7;4,0;4;4;5,8;6;5;6;6;36;6,46;6,0;6;7,3;5;7;9;8;8,0;9;7;7,5;8;7;6,0;7;5;6,0;6;4,5;4;5;104;3,80;4,4;5;5;5;5;2;4,6;4,33;4,7;5;5;4;3,7;4;3;4;4,0;6;5;2;5;2;5,0;5;4;6;;;6,10;5,75;-0,35;â;6,46;6,46;0,00;â;4,09;3,80;-0,29;â;;;6;6;7;6;7;7;7,5;0;Dem.;;;6,11;3;Limited;5,75;3;Highly defective democracies;6,46;3;Limited;3,80;4;Weak;4,4;4;Minor;4,33;4;Flawed
Botswana;5;14;8,00;14;8,35;9,3;10;9;10;8;8,3;8;10;8;7;8,0;8;9;7;8;9,0;9;9;7,3;7;6;9;7;18;7,64;5,0;5;8,0;8;7;8;9;10,0;10;10;8,5;9;8;7,0;7;7;8,0;8;7,0;8;6;5;7,25;3,6;5;6;1;4;3;2,4;8,46;7,7;8;8;7;8,0;7;9;8;8,5;9;10;8;7;n/a;9,7;10;10;9;;;8,20;8,35;0,15;â;7,57;7,64;0,07;â;7,09;7,25;0,16;â;;;8;10;8;7;8;8;9;0;Dem.;;;8,00;2;Advanced;8,35;1;Democracies in consolidation;7,64;2;Advanced;7,25;1;Very good;3,6;4;Minor;8,46;1;Excellent
Brazil;2;23;7,15;26;7,40;8,0;7;9;8;8;8,3;9;9;8;7;7,5;9;7;8;6;7,5;7;8;5,8;4;8;5;6;28;6,89;6,0;6;7,8;6;9;7;9;7,5;8;7;8,5;9;8;6,5;7;6;6,0;6;6,0;5;7;43;5,58;3,7;5;3;5;3;3;3,3;6,48;6,3;6;7;6;6,7;6;7;7;5,6;6;8;4;6;4;7,3;7;7;8;;;7,65;7,40;-0,25;â;6,93;6,89;-0,04;â;5,95;5,58;-0,37;â;;;9;9;8;7;9;6;7,5;0;Dem.;;;7,15;2;Advanced;7,40;2;Defective democracies;6,89;3;Limited;5,58;3;Moderate;3,7;4;Minor;6,48;2;Sound
Bulgaria;1;16;7,76;18;7,95;9,3;10;9;9;9;8,0;8;8;10;6;7,5;8;8;7;7;8,0;7;9;7,0;6;8;7;7;20;7,57;6,0;6;8,5;8;8;10;8;9,5;10;9;8,5;8;9;7,0;7;7;7,0;7;6,5;7;6;21;6,18;3,3;4;4;4;4;1;2,6;7,27;6,0;6;6;6;7,0;7;7;7;7,4;9;7;7;7;7;8,7;9;8;9;;;8,10;7,95;-0,15;â;7,50;7,57;0,07;â;5,98;6,18;0,20;â;;;8;8;10;6;8;7;9,5;0;Dem.;;;7,76;2;Advanced;7,95;2;Defective democracies;7,57;2;Advanced;6,18;2;Good;3,3;4;Minor;7,27;2;Sound
Burkina Faso;3;70;5,35;56;6,20;7,3;5;10;8;6;6,8;7;7;6;7;4,3;4;4;4;5;6,0;6;6;6,8;5;7;8;7;100;4,50;1,0;1;5,5;4;6;6;6;7,5;8;7;5,5;5;6;3,0;3;3;6,0;6;3,0;4;2;56;5,23;7,4;9;4;7;9;10;5,3;5,55;5,0;5;5;5;4,0;3;5;4;5,2;6;5;5;6;4;8,0;8;8;8;;;6,40;6,20;-0,20;â;4,50;4,50;0,00;â;5,20;5,23;0,03;â;;;7;7;6;7;4;5;5,5;0;Dem.;;;5,35;4;Very limited;6,20;2;Defective democracies;4,50;4;Very limited;5,23;3;Moderate;7,4;2;Substantial;5,55;3;Fair
Burundi;5;118;3,49;103;3,70;7,3;7;8;8;6;2,8;3;3;2;3;2,5;3;3;2;2;2,0;2;2;4,0;4;4;n/a;4;119;3,29;1,0;1;3,5;3;4;4;3;5,5;5;6;4,0;4;4;3,0;3;3;3,0;3;3,0;3;3;119;3,23;8,2;10;8;7;10;8;6,1;3,37;4,0;4;4;4;3,0;3;4;2;2,8;4;3;2;2;3;3,7;5;3;3;;;3,80;3,70;-0,10;â;4,14;3,29;-0,86;è;3,29;3,23;-0,06;â;;;3;3;2;3;3;2;6,5;6;Aut.;;;3,49;5;Failed;3,70;5;Hard-line autocracies;3,29;4;Very limited;3,23;4;Weak;8,2;2;Substantial;3,37;4;Flawed
Cambodia;7;110;4,00;118;3,28;8,0;9;8;10;5;1,8;2;1;2;2;2,0;2;2;2;2;2,0;2;2;2,7;2;2;n/a;4;89;4,71;4,0;4;4,5;4;3;6;5;7,0;7;7;4,0;3;5;3,0;3;3;8,0;8;2,5;2;3;121;3,14;7,2;8;9;5;8;7;6,;3,35;3,0;3;3;3;2,7;3;4;1;2,4;3;1;3;2;3;5,3;4;5;7;;;3,57;3,28;-0,28;â;4,43;4,71;0,29;â;3,23;3,14;-0,10;â;;;2;1;2;2;2;2;7;6;Aut.;;;4,00;4;Very limited;3,28;5;Hard-line autocracies;4,71;4;Very limited;3,14;4;Weak;7,2;2;Substantial;3,35;4;Flawed
Cameroon;3;107;4,08;108;3,55;5,8;6;5;7;5;2,8;3;2;4;2;3,3;3;3;4;3;2,0;2;2;4,0;4;4;n/a;4;94;4,61;3,0;3;4,8;4;4;5;6;6,5;8;5;3,5;3;4;4,5;4;5;6,0;6;4,0;4;4;106;3,63;6,9;6;7;8;8;6;6,5;3,90;3,3;3;4;3;3,3;3;4;3;3,6;4;3;3;4;4;5,3;5;6;5;;;3,92;3,55;-0,37;â;4,54;4,61;0,07;â;3,46;3,63;0,18;â;;;3;2;4;2;3;3;5,5;5;Aut.;;;4,08;4;Very limited;3,55;5;Hard-line autocracies;4,61;4;Very limited;3,63;4;Weak;6,9;2;Substantial;3,90;4;Flawed
Central African Republic;3;121;3,28;108;3,55;3,5;2;3;8;1;5,5;6;4;6;6;3,3;4;3;3;3;2,5;2;3;3,0;4;3;n/a;2;123;3,00;1,0;1;3,5;3;4;3;4;5,5;7;4;3,0;3;3;2,5;2;3;4,0;4;1,5;2;1;94;4,08;9,1;10;8;9;10;10;7,6;4,17;3,0;3;3;3;3,7;3;4;4;4,0;4;3;3;5;5;6,0;6;6;6;;;3,60;3,55;-0,05;â;2,96;3,00;0,04;â;4,10;4,08;-0,01;â;;;6;4;6;6;4;3;1,5;2;Aut.;;;3,28;5;Failed;3,55;5;Hard-line autocracies;3,00;4;Very limited;4,08;4;Weak;9,1;1;Massive;4,17;4;Flawed
Chad;3;125;3,15;123;2,93;6,0;7;8;7;2;2,8;3;2;3;3;1,8;1;1;3;2;1,5;2;1;2,7;2;3;n/a;3;118;3,36;1,0;1;4,0;3;4;4;5;5,0;7;3;3,5;3;4;2,5;3;2;5,0;5;2,5;3;2;126;2,55;8,4;9;9;6;9;10;7,1;2,65;1,7;1;3;1;2,0;2;2;2;2,6;2;2;3;2;4;4,3;3;4;6;;;3,45;2,93;-0,52;è;3,18;3,36;0,18;â;2,84;2,55;-0,28;â;;;3;2;3;3;1;2;4,5;6;Aut.;;;3,15;5;Failed;2,93;5;Hard-line autocracies;3,36;4;Very limited;2,55;5;Failed;8,4;2;Substantial;2,65;5;Poor
Chile;2;7;8,86;6;9,30;9,8;9;10;10;10;10,0;10;10;10;10;9,5;10;9;10;9;10,0;10;10;7,3;7;8;7;7;10;8,43;7,0;7;9,5;9;9;10;10;9,5;10;9;10,0;10;10;8,0;9;7;8,0;8;7,0;8;6;3;7,33;2,1;3;3;3;1;1;1,4;8,90;8,3;8;8;9;8,7;9;8;9;8,6;8;10;8;8;9;10,0;10;10;10;;;9,20;9,30;0,10;â;8,54;8,43;-0,11;â;7,33;7,33;0,00;â;;;10;10;10;10;10;9;9,5;0;Dem.;;;8,86;1;Highly advanced;9,30;1;Democracies in consolidation;8,43;1;Highly advanced;7,33;1;Very good;2,1;5;Negligible;8,90;1;Excellent
China;7;81;5,04;114;3,33;8,8;9;8;10;8;1,8;1;2;2;2;2,5;1;2;5;2;1,0;1;1;2,7;1;2;n/a;5;30;6,75;5,0;5;6,8;6;7;8;6;8,0;8;8;6,0;6;6;5,5;5;6;9,0;9;7,0;6;8;77;4,71;5,4;6;9;5;3;4;5,4;5,25;5,0;5;5;5;5,7;6;6;5;4,0;7;1;5;3;4;6,3;8;6;5;;;3,28;3,33;0,05;â;6,75;6,75;0,00;â;4,79;4,71;-0,08;â;;;1;2;2;2;1;2;8,5;6;Aut.;;;5,04;4;Very limited;3,33;5;Hard-line autocracies;6,75;3;Limited;4,71;3;Moderate;5,4;3;Moderate;5,25;3;Fair
Colombia;2;36;6,67;44;6,70;7,3;7;8;8;6;7,0;7;7;7;7;6,3;7;6;6;6;7,5;7;8;5,5;5;6;6;5;32;6,64;5,0;5;7,5;7;7;8;8;8,5;9;8;7,5;7;8;6,0;6;6;7,0;7;5,0;5;5;40;5,71;5,0;7;5;6;5;3;4,3;6,42;6,7;7;6;7;5,3;5;6;5;6,0;7;7;5;5;6;7,7;8;7;8;;;6,75;6,70;-0,05;â;6,43;6,64;0,21;â;6,14;5,71;-0,43;â;;;7;7;7;7;7;6;6,5;0;Dem.;;;6,67;3;Limited;6,70;2;Defective democracies;6,64;3;Limited;5,71;2;Good;5,0;3;Moderate;6,42;2;Sound
Congo, DR;3;124;3,17;111;3,52;5,5;3;9;8;2;3,0;4;2;3;3;2,8;3;2;3;3;2,0;2;2;4,3;4;4;n/a;5;126;2,82;1,0;1;3,3;2;3;4;4;4,0;5;3;3,5;3;4;1,0;1;1;5,0;5;2,0;2;2;125;2,58;8,0;10;6;8;10;7;6,9;2,70;2,3;3;2;2;2,0;2;2;2;2,8;3;2;3;3;3;3,7;3;3;5;;;3,47;3,52;0,05;â;2,79;2,82;0,04;â;2,47;2,58;0,11;â;;;4;2;3;3;3;3;2,5;7;Aut.;;;3,17;5;Failed;3,52;5;Hard-line autocracies;2,82;5;Rudimentary;2,58;5;Failed;8,0;2;Substantial;2,70;5;Poor
Congo, Rep.;3;119;3,36;115;3,30;6,5;6;6;10;4;2,5;2;2;3;3;2,5;2;3;3;2;2,0;2;2;3,0;3;3;n/a;3;116;3,43;3,0;3;3,0;3;2;3;4;5,5;7;4;3,0;3;3;2,5;3;2;5,0;5;2,0;2;2;123;2,93;7,1;7;7;8;8;6;6,5;3,13;3,0;4;3;2;2,7;3;3;2;2,2;3;2;2;2;2;4,7;4;4;6;;;3,25;3,30;0,05;â;3,50;3,43;-0,07;â;3,00;2,93;-0,07;â;;;2;2;3;3;2;2;5;6;Aut.;;;3,36;5;Failed;3,30;5;Hard-line autocracies;3,43;4;Very limited;2,93;5;Failed;7,1;2;Substantial;3,13;4;Flawed
Costa Rica;2;11;8,49;8;9,05;9,3;9;10;9;9;10,0;10;10;10;10;9,5;10;10;9;9;9,0;8;10;7,5;6;9;8;7;14;7,93;6,0;6;8,5;8;8;10;8;8,5;10;7;9,0;9;9;8,0;8;8;8,0;8;7,5;8;7;9;6,92;2,1;4;2;1;2;2;1,6;8,40;7,3;9;6;7;7,3;7;7;8;9,3;10;10;9;8;n/a;9,7;10;10;9;;;9,05;9,05;0,00;â;7,93;7,93;0,00;â;6,85;6,92;0,07;â;;;10;10;10;10;10;9;9;0;Dem.;;;8,49;2;Advanced;9,05;1;Democracies in consolidation;7,93;2;Advanced;6,92;2;Good;2,1;5;Negligible;8,40;1;Excellent
Côte d'Ivoire;3;63;5,49;65;5,80;7,3;8;6;9;6;7,0;6;7;8;7;3,8;4;3;3;5;6,0;6;6;5,0;6;4;6;4;78;5,18;2,0;2;5,8;6;4;6;7;7,5;8;7;7,0;6;8;4,0;4;4;7,0;7;3,0;3;3;46;5,45;6,6;6;8;5;7;8;5,5;5,90;6,0;5;7;6;5,0;6;5;4;4,6;6;5;4;4;4;8,0;8;8;8;;;5,80;5,80;0,00;â;4,96;5,18;0,21;â;5,54;5,45;-0,09;â;;;6;7;8;7;4;5;7;0;Dem.;;;5,49;4;Very limited;5,80;3;Highly defective democracies;5,18;3;Limited;5,45;3;Moderate;6,6;2;Substantial;5,90;3;Fair
