"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 20;  Democracy Status 22;  Trend Democracy;;  Economy Status 20;  Economy Status 22;  Trend Economy;;  Governance Index 20;  Governance Index 22;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  Failed State;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Benin;3;48;6,08;34;6,90;8,3;9;9;9;6;7,0;6;9;6;7;5,8;5;6;5;7;6,5;7;6;7,0;5;8;9;6;75;5,25;2,0;2;5,8;5;5;7;6;7,5;8;7;6,5;6;7;4,5;4;5;6,0;6;4,5;5;4;28;5,85;5,5;8;3;3;8;7;4,;6,50;6,0;6;6;6;5,7;6;6;5;7,0;7;9;6;6;n/a;7,3;7;7;8;;;7,75;6,90;-0,85;è;5,11;5,25;0,14;â;6,06;5,85;-0,21;â;;;6;9;6;7;5;7;7,5;0;Dem.;;;6,08;3;Limited;6,90;2;Defective democracies;5,25;3;Limited;5,85;2;Good;5,5;3;Moderate;6,50;2;Sound
Bhutan;7;38;6,38;29;7,05;7,5;8;7;7;8;7,0;8;7;6;7;7,5;8;7;8;7;8,0;8;8;5,3;6;3;7;5;60;5,71;5,0;5;4,5;5;3;5;5;5,5;5;6;7,0;8;6;5,0;5;5;7,0;7;6,0;7;5;13;6,69;5,6;6;9;2;6;7;3,5;7,42;7,3;7;8;7;7,7;7;7;9;6,0;7;7;7;5;4;8,7;9;9;8;;;6,85;7,05;0,20;â;5,71;5,71;0,00;â;6,67;6,69;0,01;â;;;8;7;6;7;8;7;8;0;Dem.;;;6,38;3;Limited;7,05;2;Defective democracies;5,71;3;Limited;6,69;2;Good;5,6;3;Moderate;7,42;2;Sound
Bolivia;2;45;6,17;29;7,05;8,5;8;9;10;7;8,5;9;9;8;8;5,5;6;5;5;6;6,5;7;6;6,3;6;7;6;6;74;5,29;4,0;4;6,0;4;6;7;7;7,0;8;6;5,0;5;5;5,0;5;5;5,0;5;5,0;5;5;39;5,54;5,5;8;6;6;6;3;4,;6,15;6,3;6;7;6;4,7;4;6;4;6,6;6;7;6;7;7;7,0;7;6;8;;;6,80;7,05;0,25;â;5,64;5,29;-0,36;â;5,45;5,54;0,09;â;;;9;9;8;8;6;6;7,5;0;Dem.;;;6,17;3;Limited;7,05;2;Defective democracies;5,29;3;Limited;5,54;3;Moderate;5,5;3;Moderate;6,15;2;Sound
Bosnia and Herzegovina;1;54;5,93;62;5,60;6,8;8;4;8;7;6,0;6;5;7;6;6,0;7;5;5;7;4,0;4;4;5,3;4;5;6;6;35;6,25;6,0;6;7,3;5;7;9;8;8,0;9;7;7,5;8;7;5,5;6;5;5,0;5;4,5;4;5;106;3,78;4,3;5;5;5;4;2;4,6;4,33;4,3;4;5;4;4,0;5;3;4;4,0;6;5;2;5;2;5,0;5;4;6;;;5,75;5,60;-0,15;â;6,46;6,25;-0,21;â;3,80;3,78;-0,02;â;;;6;5;7;6;7;7;7,5;0;Dem.;;;5,93;3;Limited;5,60;3;Highly defective democracies;6,25;3;Limited;3,78;4;Weak;4,3;4;Minor;4,33;4;Flawed
Botswana;5;16;7,59;15;8,25;9,0;10;9;10;7;8,3;8;10;8;7;8,0;8;9;7;8;9,0;9;9;7,0;7;6;9;6;22;6,93;4,0;4;8,0;8;7;8;9;9,5;10;9;8,5;9;8;6,5;6;7;6,0;6;6,0;6;6;9;6,81;3,6;5;6;1;4;3;2,5;7,94;7,0;8;7;6;7,7;7;9;7;7,8;9;9;7;6;n/a;9,3;10;9;9;;;8,35;8,25;-0,10;â;7,64;6,93;-0,71;è;7,25;6,81;-0,44;â;;;8;10;8;7;8;8;8,5;0;Dem.;;;7,59;2;Advanced;8,25;1;Democracies in consolidation;6,93;3;Limited;6,81;2;Good;3,6;4;Minor;7,94;2;Sound
Brazil;2;23;6,83;29;7,05;7,8;7;9;8;7;8,0;9;9;8;6;7,0;9;7;7;5;6,5;6;7;6,0;4;8;6;6;30;6,61;6,0;6;7,8;6;9;7;9;7,5;8;7;8,5;9;8;6,5;7;6;5,0;5;5,0;4;6;85;4,42;3,8;5;3;5;3;3;3,6;5,13;5,3;5;7;4;6,0;6;6;6;4,2;6;7;2;4;2;5,0;5;5;5;;;7,40;7,05;-0,35;â;6,89;6,61;-0,29;â;5,58;4,42;-1,15;ä;;;9;9;8;6;9;5;7;0;Dem.;;;6,83;3;Limited;7,05;2;Defective democracies;6,61;3;Limited;4,42;3;Moderate;3,8;4;Minor;5,13;3;Fair
Bulgaria;1;17;7,46;25;7,35;9,0;10;10;8;8;7,5;8;8;8;6;6,8;7;7;6;7;7,0;6;8;6,5;6;7;6;7;18;7,57;6,0;6;8,5;8;8;10;8;9,5;10;9;8,5;8;9;7,0;7;7;7,0;7;6,5;7;6;27;5,87;3,2;4;4;4;3;1;3,1;6,92;6,0;6;6;6;7,0;7;7;7;7,0;9;7;6;6;7;7,7;9;7;7;;;7,95;7,35;-0,60;è;7,57;7,57;0,00;â;6,18;5,87;-0,31;â;;;8;8;8;6;7;7;9;0;Dem.;;;7,46;2;Advanced;7,35;2;Defective democracies;7,57;2;Advanced;5,87;2;Good;3,2;4;Minor;6,92;2;Sound
Burkina Faso;3;70;5,10;60;5,85;6,5;4;10;7;5;6,5;7;7;6;6;4,0;4;4;4;4;6,0;6;6;6,3;5;7;7;6;96;4,36;1,0;1;5,5;4;6;6;6;7,5;8;7;5,5;5;6;3,0;3;3;5,0;5;3,0;4;2;50;5,24;7,5;9;4;7;9;10;5,8;5,55;4,7;5;5;4;4,0;3;5;4;5,2;6;5;5;6;4;8,3;8;8;9;;;6,20;5,85;-0,35;â;4,50;4,36;-0,14;â;5,23;5,24;0,01;â;;;7;7;6;6;4;4;4,5;0;Dem.;;;5,10;4;Very limited;5,85;3;Highly defective democracies;4,36;4;Very limited;5,24;3;Moderate;7,5;2;Substantial;5,55;3;Fair
Burundi;5;117;3,38;110;3,55;6,5;7;8;7;4;2,8;3;3;2;3;2,5;3;3;2;2;2,0;2;2;4,0;4;4;n/a;4;119;3,21;1,0;1;3,5;3;4;4;3;5,5;5;6;4,0;4;4;3,5;3;4;2,0;2;3,0;3;3;115;3,25;8,4;10;9;7;10;8;6,5;3,37;4,0;4;4;4;2,7;3;4;1;2,8;4;3;2;2;3;4,0;5;3;4;;;3,70;3,55;-0,15;â;3,29;3,21;-0,07;â;3,23;3,25;0,02;â;;;3;3;2;3;3;2;5,5;6;Aut.;;;3,38;5;Failed;3,55;5;Hard-line autocracies;3,21;4;Very limited;3,25;4;Weak;8,4;2;Substantial;3,37;4;Flawed
Cambodia;7;110;3,86;119;3,08;7,8;9;8;9;5;1,8;2;1;2;2;1,8;1;2;2;2;1,5;2;1;2,7;2;2;n/a;4;86;4,64;4,0;4;4,5;4;3;6;5;7,0;7;7;4,0;3;5;3,5;4;3;7,0;7;2,5;2;3;118;3,05;7,0;7;9;5;8;7;6,3;3,27;3,0;3;3;3;2,7;3;4;1;2,4;3;1;3;2;3;5,0;4;5;6;;;3,28;3,08;-0,20;â;4,71;4,64;-0,07;â;3,14;3,05;-0,09;â;;;2;1;2;2;1;2;7;6;Aut.;;;3,86;5;Failed;3,08;5;Hard-line autocracies;4,64;4;Very limited;3,05;4;Weak;7,0;2;Substantial;3,27;4;Flawed
Cameroon;3;105;4,11;107;3,62;5,5;5;5;7;5;3,0;4;2;4;2;3,3;3;3;4;3;2,0;2;2;4,3;5;4;n/a;4;88;4,61;3,0;3;4,8;4;4;5;6;6,5;8;5;3,5;3;4;4,5;4;5;6,0;6;4,0;4;4;99;3,95;6,9;6;8;7;8;6;6,6;4,23;4,0;4;4;4;3,3;3;4;3;3,6;4;3;3;4;4;6,0;6;6;6;;;3,55;3,62;0,07;â;4,61;4,61;0,00;â;3,63;3,95;0,31;â;;;4;2;4;2;3;3;5;5;Aut.;;;4,11;4;Very limited;3,62;5;Hard-line autocracies;4,61;4;Very limited;3,95;4;Weak;6,9;2;Substantial;4,23;4;Flawed
Central African Republic;3;123;3,11;113;3,40;3,5;2;3;8;1;4,5;5;2;6;5;3,5;4;4;3;3;2,5;2;3;3,0;4;3;n/a;2;122;2,82;1,0;1;3,3;2;4;3;4;5,5;7;4;3,0;3;3;2,5;2;3;3,0;3;1,5;2;1;105;3,81;8,9;10;8;10;9;9;7,5;3,90;3,0;3;3;3;3,3;3;4;3;3,6;4;3;2;5;4;5,7;6;5;6;;;3,55;3,40;-0,15;â;3,00;2,82;-0,18;â;4,08;3,81;-0,28;â;;;5;2;6;5;4;3;1,5;4;Aut.;;;3,11;5;Failed;3,40;5;Hard-line autocracies;2,82;5;Rudimentary;3,81;4;Weak;8,9;1;Massive;3,90;4;Flawed
Chad;3;124;3,07;124;3,00;6,0;7;8;7;2;2,3;3;2;2;2;2,3;2;1;3;3;1,5;2;1;3,0;2;3;n/a;4;121;3,14;1,0;1;4,0;3;4;4;5;5,0;7;3;3,5;3;4;2,0;2;2;4,0;4;2,5;3;2;126;2,63;8,3;9;9;6;9;10;6,9;2,73;1,7;1;3;1;2,0;2;2;2;2,6;2;2;3;2;4;4,7;4;4;6;;;2,93;3,00;0,07;â;3,36;3,14;-0,21;â;2,55;2,63;0,08;â;;;3;2;2;2;2;3;4,5;6;Aut.;;;3,07;5;Failed;3,00;5;Hard-line autocracies;3,14;4;Very limited;2,63;5;Failed;8,3;2;Substantial;2,73;5;Poor
Chile;2;9;8,74;6;9,20;9,8;9;10;10;10;9,8;10;10;9;10;9,5;10;10;10;8;10,0;10;10;7,0;6;8;7;7;11;8,29;7,0;7;9,5;9;9;10;10;9,0;10;8;10,0;10;10;8,0;8;8;7,0;7;7,5;9;6;4;7,15;2,4;3;3;5;1;1;1,4;8,60;7,3;7;7;8;8,7;9;8;9;8,4;8;10;7;8;9;10,0;10;10;10;;;9,30;9,20;-0,10;â;8,43;8,29;-0,14;â;7,33;7,15;-0,18;â;;;10;10;9;10;10;8;9,5;0;Dem.;;;8,74;1;Highly advanced;9,20;1;Democracies in consolidation;8,29;1;Highly advanced;7,15;1;Very good;2,4;5;Negligible;8,60;1;Excellent
China;7;78;4,94;116;3,23;8,5;9;7;10;8;1,5;1;2;2;1;2,5;1;2;5;2;1,0;1;1;2,7;1;2;n/a;5;29;6,64;5,0;5;6,5;6;7;7;6;7,5;7;8;6,0;6;6;5,5;5;6;9,0;9;7,0;6;8;48;5,29;5,3;6;9;5;3;3;5,5;5,92;7,7;8;7;8;5,7;6;6;5;4,0;7;1;5;3;4;6,3;8;6;5;;;3,33;3,23;-0,10;â;6,75;6,64;-0,11;â;4,71;5,29;0,58;æ;;;1;2;2;1;1;2;8,5;6;Aut.;;;4,94;4;Very limited;3,23;5;Hard-line autocracies;6,64;3;Limited;5,29;3;Moderate;5,3;3;Moderate;5,92;3;Fair
Colombia;2;35;6,45;47;6,40;7,0;6;8;8;6;6,8;7;7;6;7;5,8;6;6;6;5;7,0;7;7;5,5;5;6;6;5;31;6,50;5,0;5;7,5;7;7;8;8;8,5;9;8;7,5;7;8;6,0;6;6;6,0;6;5,0;5;5;50;5,24;5,1;7;5;7;4;3;4,6;5,88;6,0;7;5;6;5,3;5;6;5;5,2;6;6;5;4;5;7,0;7;7;7;;;6,70;6,40;-0,30;â;6,64;6,50;-0,14;â;5,71;5,24;-0,47;â;;;7;7;6;7;6;5;6;0;Dem.;;;6,45;3;Limited;6,40;2;Defective democracies;6,50;3;Limited;5,24;3;Moderate;5,1;3;Moderate;5,88;3;Fair
Congo, DR;3;120;3,24;103;3,67;5,5;3;9;8;2;3,5;4;2;4;4;3,0;3;2;4;3;2,0;2;2;4,3;4;4;n/a;5;122;2,82;1,0;1;3,3;2;3;4;4;4,0;5;3;3,5;3;4;1,0;1;1;5,0;5;2,0;2;2;125;2,65;7,8;10;6;8;9;7;6,8;2,78;2,3;3;2;2;2,0;2;2;2;2,8;3;2;3;3;3;4,0;3;3;6;;;3,52;3,67;0,15;â;2,82;2,82;0,00;â;2,58;2,65;0,07;â;;;4;2;4;4;3;3;2,5;5;Aut.;;;3,24;5;Failed;3,67;5;Hard-line autocracies;2,82;5;Rudimentary;2,65;5;Failed;7,8;2;Substantial;2,78;5;Poor
Congo, Rep.;3;119;3,32;115;3,35;6,8;7;6;10;4;2,5;2;2;3;3;2,5;2;3;3;2;2,0;2;2;3,0;3;3;n/a;3;117;3,29;3,0;3;3,0;3;2;3;4;5,5;7;4;3,0;3;3;2,5;3;2;4,0;4;2,0;2;2;122;2,93;7,1;7;8;7;8;6;6,4;3,13;3,0;4;3;2;2,7;3;3;2;2,2;3;2;2;2;2;4,7;4;4;6;;;3,30;3,35;0,05;â;3,43;3,29;-0,14;â;2,93;2,93;0,00;â;;;2;2;3;3;2;2;5,5;6;Aut.;;;3,32;5;Failed;3,35;5;Hard-line autocracies;3,29;4;Very limited;2,93;5;Failed;7,1;2;Substantial;3,13;4;Flawed
Costa Rica;2;11;8,37;7;9,10;9,3;9;10;9;9;10,0;10;10;10;10;9,5;10;10;9;9;9,0;8;10;7,8;6;9;8;8;17;7,64;6,0;6;8,5;8;8;10;8;8,0;10;6;9,0;9;9;8,0;8;8;7,0;7;7,0;7;7;5;7,13;2,1;4;2;1;2;2;1,6;8,65;8,3;10;7;8;7,3;7;7;8;9,3;10;10;9;8;n/a;9,7;10;10;9;;;9,05;9,10;0,05;â;7,93;7,64;-0,29;â;6,92;7,13;0,21;â;;;10;10;10;10;10;9;9;0;Dem.;;;8,37;2;Advanced;9,10;1;Democracies in consolidation;7,64;2;Advanced;7,13;1;Very good;2,1;5;Negligible;8,65;1;Excellent
Côte d'Ivoire;3;77;4,97;73;4,83;7,5;9;6;9;6;5,3;5;3;7;6;3,8;4;3;3;5;3,0;3;3;4,7;6;4;n/a;4;78;5,11;2,0;2;5,8;6;4;6;7;7,5;8;7;7,0;6;8;4,0;4;4;7,0;7;2,5;2;3;42;5,40;6,4;6;8;5;7;7;5,4;5,87;6,0;5;7;6;5,3;7;6;3;4,8;6;6;4;4;4;7,3;8;7;7;;;5,80;4,83;-0,97;è;5,18;5,11;-0,07;â;5,45;5,40;-0,06;â;;;5;3;7;6;4;5;7,5;2;Aut.;;;4,97;4;Very limited;4,83;4;Moderate autocracies;5,11;3;Limited;5,40;3;Moderate;6,4;3;Moderate;5,87;3;Fair
