"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 14;  Democracy Status 16;  Trend Democracy;;  Economy Status 14;  Economy Status 16;  Trend Economy;;  Governance Index 14;  Governance Index 16;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Benin;3;46;6,28;28;7,55;8,3;9;9;9;6;8,3;8;9;9;7;6,3;7;6;4;8;8,0;7;9;7,0;5;8;9;6;80;5,00;2,0;2;6,0;4;6;7;7;7,5;8;7;6,0;6;6;3,5;3;4;6,0;6;4,0;4;4;48;5,42;5,6;8;3;2;9;8;3,8;6,00;5,3;5;5;6;4,3;4;5;4;7,0;7;8;9;4;n/a;7,3;7;8;7;;;7,55;7,55;0,00;�;5,18;5,00;-0,18;�;6,04;5,42;-0,62;�;;;8;9;9;7;7;8;7,5;0;Dem.;;;6,28;3;Limited;7,55;2;Defective democracy;5,00;3;Limited;5,42;3;Moderate;5,6;3;Moderate;6,00;2;Sound
Bhutan;7;54;6,02;51;6,50;7,3;8;7;7;7;7,0;8;7;6;7;7,3;7;7;8;7;7,0;7;7;4,0;4;3;n/a;5;67;5,54;5,0;5;3,8;4;3;4;4;6,0;5;7;5,5;6;5;4,5;4;5;7,0;7;7,0;8;6;17;6,58;6,3;6;9;4;7;8;3,8;7,17;6,7;6;7;7;7,3;7;7;8;6,0;7;7;7;5;4;8,7;10;9;7;;;6,40;6,50;0,10;�;5,00;5,54;0,54;�;6,27;6,58;0,31;�;;;8;7;6;7;7;7;7,5;0;Dem.;;;6,02;3;Limited;6,50;2;Defective democracy;5,54;3;Limited;6,58;2;Good;6,3;3;Moderate;7,17;2;Sound
Bolivia;2;37;6,58;30;7,30;8,5;8;9;10;7;8,5;9;9;8;8;6,0;7;6;5;6;7,0;7;7;6,5;6;7;7;6;57;5,86;4,0;4;6,0;4;6;7;7;8,5;8;9;4,5;5;4;5,0;5;5;8,0;8;5,0;5;5;43;5,63;5,3;7;6;5;7;3;3,8;6,28;7,0;8;7;6;4,7;4;6;4;6,8;5;7;7;8;7;6,7;7;5;8;;;7,10;7,30;0,20;�;5,89;5,86;-0,04;�;5,34;5,63;0,29;�;;;9;9;8;8;7;6;7,5;0;Dem.;;;6,58;3;Limited;7,30;2;Defective democracy;5,86;3;Limited;5,63;2;Good;5,3;3;Moderate;6,28;2;Sound
Bosnia and Herzegovina;1;42;6,38;54;6,30;7,0;8;4;8;8;7,0;7;7;8;6;6,5;8;5;6;7;5,0;5;5;6,0;6;6;6;6;37;6,46;6,0;6;7,8;6;8;9;8;8,0;9;7;7,5;8;7;6,0;7;5;5,0;5;5,0;5;5;92;4,10;4,7;6;5;5;5;3;4,3;4,65;4,3;4;5;4;4,0;4;4;4;4,6;7;5;3;5;3;5,7;5;5;7;;;6,35;6,30;-0,05;�;6,39;6,46;0,07;�;3,95;4,10;0,15;�;;;7;7;8;6;8;7;8;0;Dem.;;;6,38;3;Limited;6,30;2;Defective democracy;6,46;3;Limited;4,10;4;Weak;4,7;3;Moderate;4,65;4;Flawed
Botswana;5;17;7,84;16;8,25;9,3;10;9;10;8;8,3;8;10;8;7;7,8;7;9;7;8;9,0;9;9;7,0;7;6;8;7;21;7,43;5,0;5;8,0;8;7;8;9;9,0;9;9;8,5;9;8;7,0;7;7;8,0;8;6,5;7;6;7;7,04;3,9;5;6;2;4;4;2,5;8,15;7,7;8;8;7;7,7;7;9;7;8,3;9;9;8;7;n/a;9,0;9;9;9;;;8,35;8,25;-0,10;�;7,46;7,43;-0,04;�;7,01;7,04;0,03;�;;;8;10;8;7;7;8;9;0;Dem.;;;7,84;2;Advanced;8,25;1;Democracy in consolidation;7,43;2;Advanced;7,04;1;Very good;3,9;4;Minor;8,15;1;Excellent
Brazil;2;19;7,60;19;8,05;8,3;7;9;9;8;9,0;10;9;9;8;7,8;9;7;8;7;8,5;8;9;6,8;6;8;7;6;26;7,14;6,0;6;8,0;7;9;7;9;8,0;8;8;8,5;9;8;7,0;7;7;6,0;6;6,5;6;7;14;6,76;3,2;5;3;3;2;3;3,;7,97;7,3;8;7;7;7,0;7;7;7;8,2;9;9;7;8;8;9,3;9;9;10;;;8,15;8,05;-0,10;�;7,89;7,14;-0,75;�;7,27;6,76;-0,51;�;;;10;9;9;8;9;7;7,5;0;Dem.;;;7,60;2;Advanced;8,05;1;Democracy in consolidation;7,14;2;Advanced;6,76;2;Good;3,2;4;Minor;7,97;2;Sound
Bulgaria;1;16;7,91;17;8,15;9,5;10;9;10;9;8,5;8;9;10;7;7,8;8;8;7;8;8,0;7;9;7,0;6;8;7;7;18;7,68;7,0;7;8,8;8;9;10;8;9,0;9;9;9,0;9;9;7,5;7;8;6,0;6;6,5;7;6;30;6,02;3,4;4;4;4;4;2;2,4;7,05;5,7;6;6;5;6,0;6;6;6;8,2;10;8;7;8;8;8,3;8;8;9;;;8,35;8,15;-0,20;�;7,93;7,68;-0,25;�;6,38;6,02;-0,36;�;;;8;9;10;7;8;8;9,5;0;Dem.;;;7,91;2;Advanced;8,15;1;Democracy in consolidation;7,68;2;Advanced;6,02;2;Good;3,4;4;Minor;7,05;2;Sound
Burkina Faso;3;92;4,71;80;4,73;7,5;6;10;8;6;4,0;2;1;6;7;4,0;3;4;4;5;2,5;2;3;5,7;4;7;n/a;6;88;4,68;1,0;1;5,8;5;6;6;6;7,5;8;7;6,0;6;6;3,0;3;3;6,0;6;3,5;5;2;66;4,92;7,2;9;4;6;9;10;5,3;5,25;4,7;5;5;4;4,0;3;5;4;5,0;6;5;4;6;4;7,3;7;7;8;;;5,23;4,73;-0,50;�;4,68;4,68;0,00;�;5,01;4,92;-0,08;�;;;2;1;6;7;3;5;6;3;Aut.;;;4,71;4;Very limited;4,73;4;Moderate autocracy;4,68;4;Very limited;4,92;3;Moderate;7,2;2;Substantial;5,25;3;Fair
Burundi;5;97;4,36;82;4,62;7,8;7;9;8;7;4,5;6;3;5;4;3,5;4;4;3;3;3,0;3;3;4,3;5;4;n/a;4;103;4,11;2,0;2;3,8;4;4;4;3;6,0;6;6;5,5;5;6;4,0;3;5;4,0;4;3,5;4;3;93;4,07;8,1;9;8;7;10;9;5,4;4,25;4,0;4;4;4;3,0;3;4;2;4,0;4;4;5;3;4;6,0;6;5;7;;;4,72;4,62;-0,10;�;4,11;4,11;0,00;�;4,14;4,07;-0,08;�;;;6;3;5;4;4;3;7;2;Aut.;;;4,36;4;Very limited;4,62;4;Moderate autocracy;4,11;4;Very limited;4,07;4;Weak;8,1;2;Substantial;4,25;4;Flawed
Cambodia;7;104;4,12;98;3,73;7,8;8;8;10;5;3,0;3;2;3;4;2,3;2;2;2;3;2,0;2;2;3,7;4;3;n/a;4;96;4,50;4,0;4;4,5;4;3;6;5;6,0;6;6;4,5;3;6;3,0;3;3;7,0;7;2,5;2;3;111;3,42;7,3;8;9;5;9;7;6,;3,63;3,3;4;3;3;3,0;3;4;2;3,2;4;3;3;3;3;5,0;3;5;7;;;3,77;3,73;-0,03;�;4,46;4,50;0,04;�;3,50;3,42;-0,08;�;;;3;2;3;4;2;3;6,5;5;Aut.;;;4,12;4;Very limited;3,73;5;Hard-line autocracy;4,50;4;Very limited;3,42;4;Weak;7,3;2;Substantial;3,63;4;Flawed
Cameroon;3;100;4,26;96;3,80;6,0;6;6;7;5;3,3;3;2;5;3;3,8;3;4;4;4;2,0;2;2;4,0;4;4;n/a;4;87;4,71;3,0;3;5,0;4;5;5;6;6,5;8;5;4,0;4;4;4,5;4;5;6,0;6;4,0;4;4;106;3,63;6,9;6;7;7;8;7;6,1;3,90;3,3;3;4;3;3,3;3;4;3;3,6;4;3;3;4;4;5,3;5;6;5;;;4,08;3,80;-0,28;�;4,79;4,71;-0,07;�;3,32;3,63;0,31;�;;;3;2;5;3;3;4;5,5;4;Aut.;;;4,26;4;Very limited;3,80;5;Hard-line autocracy;4,71;4;Very limited;3,63;4;Weak;6,9;2;Substantial;3,90;4;Flawed
Central African Republic;3;122;2,89;115;3,20;3,3;2;3;7;1;3,8;1;1;6;7;3,5;5;3;3;3;2,5;2;3;3,0;4;3;n/a;2;123;2,57;1,0;1;3,0;2;4;3;3;5,5;7;4;3,0;3;3;2,0;1;3;2,0;2;1,5;2;1;86;4,28;8,9;10;8;8;10;10;7,6;4,38;3,0;2;3;4;3,7;3;4;4;5,2;5;3;5;6;7;5,7;6;5;6;;;3,32;3,20;-0,12;�;3,32;2,57;-0,75;�;4,13;4,28;0,15;�;;;1;1;6;7;5;3;1,5;4;Aut.;;;2,89;5;Failed;3,20;5;Hard-line autocracy;2,57;5;Rudimentary;4,28;4;Weak;8,9;1;Massive;4,38;4;Flawed
Chad;3;113;3,50;104;3,50;6,5;7;8;8;3;3,3;4;2;4;3;2,3;2;2;3;2;2,5;3;2;3,0;3;3;n/a;3;114;3,50;1,0;1;5,0;3;6;6;5;4,5;6;3;3,5;3;4;2,5;3;2;5,0;5;3,0;3;3;117;2,79;8,3;9;9;6;9;10;6,6;2,90;2,0;1;3;2;2,3;3;2;2;2,6;2;2;3;3;3;4,7;4;4;6;;;3,45;3,50;0,05;�;3,43;3,50;0,07;�;2,71;2,79;0,08;�;;;4;2;4;3;2;2;5;5;Aut.;;;3,50;5;Failed;3,50;5;Hard-line autocracy;3,50;4;Very limited;2,79;5;Failed;8,3;2;Substantial;2,90;5;Poor
Chile;2;8;8,77;9;9,15;9,8;10;10;9;10;9,3;9;9;10;9;9,3;10;9;9;9;10,0;10;10;7,5;8;8;7;7;12;8,39;7,0;7;9,3;9;8;10;10;10,0;10;10;10,0;10;10;7,5;8;7;8,0;8;7,0;8;6;2;7,51;2,3;3;3;3;1;2;1,5;9,07;9,0;9;9;9;8,7;8;9;9;8,6;9;10;8;7;9;10,0;10;10;10;;;9,10;9,15;0,05;�;8,54;8,39;-0,14;�;7,26;7,51;0,25;�;;;9;9;10;9;10;9;10;0;Dem.;;;8,77;1;Highly advanced;9,15;1;Democracy in consolidation;8,39;1;Highly advanced;7,51;1;Very good;2,3;5;Negligible;9,07;1;Excellent
China;7;84;4,95;111;3,28;8,8;9;8;10;8;1,8;1;2;2;2;2,3;1;2;4;2;1,0;1;1;2,7;1;2;n/a;5;32;6,61;5,0;5;6,8;6;7;8;6;7,5;7;8;6,0;6;6;5,5;5;6;9,0;9;6,5;5;8;75;4,73;5,6;6;9;5;4;4;5,5;5,25;5,0;5;5;5;5,7;6;6;5;4,0;7;1;5;3;4;6,3;7;6;6;;;3,33;3,28;-0,05;�;6,68;6,61;-0,07;�;4,92;4,73;-0,19;�;;;1;2;2;2;1;2;8,5;6;Aut.;;;4,95;4;Very limited;3,28;5;Hard-line autocracy;6,61;3;Limited;4,73;3;Moderate;5,6;3;Moderate;5,25;3;Fair
Colombia;2;34;6,65;44;6,65;7,3;6;8;9;6;6,8;7;6;7;7;6,5;7;7;6;6;7,0;7;7;5,8;6;6;6;5;31;6,64;5,0;5;7,5;7;7;8;8;8,5;9;8;8,0;7;9;5,5;5;6;7,0;7;5,0;5;5;28;6,13;5,4;8;5;7;4;4;4,1;6,83;7,3;8;7;7;6,0;6;7;5;6,0;7;6;6;5;6;8,0;8;8;8;;;6,55;6,65;0,10;�;6,57;6,64;0,07;�;5,88;6,13;0,25;�;;;7;6;7;7;7;6;6;0;Dem.;;;6,65;3;Limited;6,65;2;Defective democracy;6,64;3;Limited;6,13;2;Good;5,4;3;Moderate;6,83;2;Sound
Congo, DR;3;117;3,09;109;3,40;5,5;3;9;8;2;2,8;3;2;3;3;2,8;3;2;3;3;2,0;2;2;4,0;4;4;n/a;4;121;2,79;1,0;1;3,0;2;2;4;4;4,5;6;3;3,0;3;3;1,0;1;1;5,0;5;2,0;2;2;118;2,76;8,3;10;6;8;10;9;6,9;2,87;2,3;3;2;2;2,0;2;2;2;2,8;3;2;3;3;3;4,3;4;4;5;;;3,25;3,40;0,15;�;2,64;2,79;0,14;�;2,99;2,76;-0,24;�;;;3;2;3;3;3;3;2,5;7;Aut.;;;3,09;5;Failed;3,40;5;Hard-line autocracy;2,79;5;Rudimentary;2,76;5;Failed;8,3;2;Substantial;2,87;5;Poor
Congo, Rep.;3;110;3,58;107;3,45;6,5;6;6;9;5;2,8;3;2;3;3;3,0;3;3;3;3;2,0;2;2;3,0;3;3;n/a;3;111;3,71;3,0;3;3,0;3;2;3;4;6,0;7;5;3,0;3;3;2,5;3;2;6,0;6;2,5;3;2;110;3,43;6,7;7;7;7;7;6;6,3;3,70;4,0;4;4;4;2,7;3;3;2;2,8;4;2;2;3;3;5,3;5;5;6;;;3,67;3,45;-0,22;�;3,79;3,71;-0,07;�;3,69;3,43;-0,26;�;;;3;2;3;3;3;3;5,5;6;Aut.;;;3,58;5;Failed;3,45;5;Hard-line autocracy;3,71;4;Very limited;3,43;4;Weak;6,7;2;Substantial;3,70;4;Flawed
Costa Rica;2;12;8,49;7;9,20;9,8;10;10;9;10;10,0;10;10;10;10;9,0;10;9;8;9;9,0;8;10;8,3;7;9;8;9;16;7,79;6,0;6;8,5;8;8;10;8;8,5;9;8;9,0;9;9;7,5;8;7;8,0;8;7,0;7;7;10;6,93;2,4;4;2;1;3;3;1,6;8,33;7,7;9;7;7;7,3;7;7;8;9,0;10;10;8;8;n/a;9,3;9;10;9;;;9,30;9,20;-0,10;�;8,18;7,79;-0,39;�;6,82;6,93;0,12;�;;;10;10;10;10;10;9;10;0;Dem.;;;8,49;2;Advanced;9,20;1;Democracy in consolidation;7,79;2;Advanced;6,93;2;Good;2,4;5;Negligible;8,33;1;Excellent
C�te d'Ivoire;3;78;5,09;68;5,50;7,0;7;5;9;7;7,0;7;7;8;6;3,5;4;3;3;4;5,5;6;5;4,5;5;4;6;3;88;4,68;2,0;2;4,8;5;2;6;6;8,0;8;8;6,5;6;7;3,5;4;3;5,0;5;3,0;3;3;61;5,13;7,1;7;8;5;8;9;5,8;5,48;6,0;6;7;5;4,3;5;4;4;4,6;6;5;4;4;4;7,0;7;7;7;;;4,88;5,50;0,62;�;4,18;4,68;0,50;�;4,40;5,13;0,74;�;;;7;7;8;6;4;4;7;0;Dem.;;;5,09;4;Very limited;5,50;3;Highly defective democracy;4,68;4;Very limited;5,13;3;Moderate;7,1;2;Substantial;5,48;3;Fair
