"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 06;  Democracy Status 08;  Trend Democracy;;  Economy Status 06;  Economy Status 08;  Trend Economy;;  Governance Index 06;  Governance Index 08;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Benin;3;43;6,34;25;7,90;8,3;8;9;10;6;8,8;9;8;10;8;7,3;8;7;6;8;8,5;7;10;6,8;4;7;9;7;87;4,79;2,0;2;6,0;5;5;8;6;7,5;9;6;5,0;5;5;3,5;3;4;7,0;7;2,5;3;2;28;6,20;6,2;8;4;3;9;10;3,3;6,77;5,7;6;6;5;5,0;5;5;5;7,8;8;9;9;5;n/a;8,7;8;9;9;;;7,60;7,90;0,30;�;4,93;4,79;-0,14;�;5,68;6,20;0,52;�;;;9;8;10;8;8;8;7;0;Dem.;;;6,34;3;Limited;7,90;2;Defective democracy;4,79;4;Very limited;6,20;2;Good;6,2;3;Moderate;6,77;2;Sound
Bhutan;7;110;3,71;99;3,75;6,5;8;6;7;5;2,8;4;1;2;4;5,0;3;5;7;5;1,5;1;2;3,0;1;3;n/a;5;111;3,68;2,0;2;1,8;3;2;1;1;4,5;1;8;5,0;4;6;3,0;3;3;5,0;5;4,5;7;2;61;5,02;7,2;6;9;5;8;10;5,3;5,35;5,0;5;5;5;5,7;5;6;6;3,4;3;2;4;4;4;7,3;9;9;4;;;-;3,75;-;;-;3,68;-;;-;5,02;-;;;;4;1;2;4;3;5;6,5;4;Aut.;;;3,71;5;Failed;3,75;5;Hard-line autocracy;3,68;4;Very limited;5,02;3;Moderate;7,2;2;Substantial;5,35;3;Fair
Bolivia;2;64;5,75;56;6,40;7,5;6;8;9;7;7,8;9;7;8;7;5,8;6;6;5;6;6,0;6;6;5,0;4;6;5;5;74;5,11;3,0;3;5,8;5;6;5;7;7,0;7;7;5,0;5;5;4,5;4;5;6,0;6;4,5;5;4;75;4,73;5,6;7;6;6;8;2;4,4;5,25;4,7;4;5;5;4,0;4;4;4;6,0;5;6;5;7;7;6,3;7;6;6;;;6,75;6,40;-0,35;�;5,39;5,11;-0,29;�;5,27;4,73;-0,53;�;;;9;7;8;7;6;6;6,5;0;Dem.;;;5,75;3;Limited;6,40;2;Defective democracy;5,11;3;Limited;4,73;3;Moderate;5,6;3;Moderate;5,25;3;Fair
Bosnia and Herzegovina;1;40;6,51;48;6,70;7,0;8;5;8;7;8,5;9;8;9;8;6,8;8;6;6;7;6,0;6;6;5,3;5;5;6;5;49;6,32;6,0;6;7,3;6;8;8;7;8,5;9;8;6,5;7;6;5,5;6;5;5,0;5;5,5;6;5;79;4,61;4,5;5;5;5;6;2;4,1;5,25;5,3;5;5;6;4,3;4;4;5;5,0;7;7;3;5;3;6,3;7;5;7;;;6,80;6,70;-0,10;�;6,43;6,32;-0,11;�;4,71;4,61;-0,10;�;;;9;8;9;8;8;7;7,5;0;Dem.;;;6,51;3;Limited;6,70;2;Defective democracy;6,32;3;Limited;4,61;3;Moderate;4,5;3;Moderate;5,25;3;Fair
Botswana;5;19;7,94;20;8,45;9,0;10;8;10;8;9,0;9;10;9;8;8,3;8;9;8;8;8,5;8;9;7,5;8;6;9;7;20;7,43;5,0;5;8,5;8;7;10;9;8,5;8;9;8,0;9;7;6,5;6;7;9,0;9;6,5;7;6;3;7,27;4,1;6;5;2;5;4;2,4;8,38;7,7;9;7;7;8,3;8;9;8;8,5;9;9;8;8;n/a;9,0;9;9;9;;;8,45;8,45;0,00;�;7,50;7,43;-0,07;�;7,44;7,27;-0,17;�;;;9;10;9;8;8;8;9;0;Dem.;;;7,94;2;Advanced;8,45;1;Democracy in consolidation;7,43;2;Advanced;7,27;1;Very good;4,1;4;Minor;8,38;1;Excellent
Brazil;2;20;7,90;24;7,95;8,5;7;9;10;8;9,0;10;9;9;8;7,5;9;7;7;7;8,0;7;9;6,8;6;7;7;7;18;7,86;6,0;6;8,0;7;9;7;9;10,0;10;10;8,5;9;8;7,0;7;7;9,0;9;6,5;6;7;17;6,70;3,5;5;3;3;5;2;3,;7,83;7,0;9;6;6;6,3;7;6;6;8,0;9;8;7;9;7;10,0;10;10;10;;;7,90;7,95;0,05;�;7,79;7,86;0,07;�;6,88;6,70;-0,18;�;;;10;9;9;8;9;7;7,5;0;Dem.;;;7,90;2;Advanced;7,95;2;Defective democracy;7,86;2;Advanced;6,70;2;Good;3,5;4;Minor;7,83;2;Sound
Bulgaria;1;15;8,44;15;8,70;9,5;10;9;9;10;9,3;10;9;10;8;8,5;9;8;8;9;9,0;9;9;7,3;6;8;8;7;14;8,18;7,0;7;8,8;8;9;10;8;9,5;9;10;9,0;9;9;7,5;7;8;8,0;8;7,5;8;7;13;6,76;3,2;4;4;3;5;1;2,;7,97;7,7;8;8;7;7,0;8;6;7;8,2;9;9;7;8;8;9,0;9;8;10;;;8,45;8,70;0,25;�;7,50;8,18;0,68;�;6,53;6,76;0,23;�;;;10;9;10;8;9;9;10;0;Dem.;;;8,44;2;Advanced;8,70;1;Democracy in consolidation;8,18;1;Highly advanced;6,76;2;Good;3,2;4;Minor;7,97;2;Sound
Burkina Faso;3;72;5,39;59;6,25;8,5;9;9;10;6;6,5;7;7;6;6;4,5;5;4;4;5;5,5;5;6;6,3;6;5;9;5;92;4,54;1,0;1;4,8;3;6;5;5;8,0;9;7;5,5;5;6;3,0;3;3;6,0;6;3,5;5;2;84;4,56;6,8;9;5;2;10;10;4,5;4,92;4,0;4;4;4;3,7;3;5;3;5,0;6;5;6;5;3;7,0;7;7;7;;;5,27;6,25;0,98;�;4,57;4,54;-0,04;�;4,43;4,56;0,13;�;;;7;7;6;6;5;5;7,5;0;Dem.;;;5,39;4;Very limited;6,25;2;Defective democracy;4,54;4;Very limited;4,56;3;Moderate;6,8;2;Substantial;4,92;4;Flawed
Burundi;5;82;4,78;69;5,80;7,3;6;8;8;7;7,0;8;7;7;6;5,0;5;5;4;6;5,0;5;5;4,8;5;4;6;4;109;3,75;3,0;3;3,8;4;4;4;3;4,5;4;5;4,5;4;5;3,0;3;3;4,0;4;3,5;4;3;70;4,80;7,6;9;8;5;10;9;4,9;5,07;4,3;4;3;6;3,7;4;3;4;5,6;6;6;7;4;5;6,7;7;6;7;;;3,63;5,80;2,17;�;3,54;3,75;0,21;�;2,77;4,80;2,03;�;;;8;7;7;6;5;6;6,5;0;Dem.;;;4,78;4;Very limited;5,80;3;Highly defective democracy;3,75;4;Very limited;4,80;3;Moderate;7,6;2;Substantial;5,07;3;Fair
Cambodia;7;88;4,48;84;4,13;7,8;8;8;10;5;4,3;5;2;5;5;3,0;3;3;2;4;2,0;2;2;3,7;4;4;n/a;3;84;4,82;4,0;4;4,8;5;4;6;4;7,0;7;7;6,0;5;7;3,0;3;3;6,0;6;3,0;3;3;100;3,82;6,9;8;9;4;9;6;5,6;4,10;3,3;4;3;3;3,0;3;4;2;4,4;4;5;6;4;3;5,7;4;6;7;;;4,00;4,13;0,13;�;4,57;4,82;0,25;�;3,54;3,82;0,28;�;;;5;2;5;5;3;4;6,5;3;Aut.;;;4,48;4;Very limited;4,13;4;Moderate autocracy;4,82;4;Very limited;3,82;4;Weak;6,9;2;Substantial;4,10;4;Flawed
Cameroon;3;90;4,46;84;4,13;6,5;7;5;9;5;3,5;3;2;5;4;4,0;4;4;4;4;2,0;2;2;4,7;5;5;n/a;4;87;4,79;3,0;3;5,0;5;5;5;5;7,0;9;5;4,5;4;5;4,0;4;4;6,0;6;4,0;4;4;105;3,39;6,5;6;7;6;8;6;5,8;3,68;3,3;2;4;4;3,3;3;4;3;3,4;4;4;3;3;3;4,7;5;5;4;;;4,08;4,13;0,05;�;4,54;4,79;0,25;�;3,25;3,39;0,14;�;;;3;2;5;4;4;4;6;2;Aut.;;;4,46;4;Very limited;4,13;4;Moderate autocracy;4,79;4;Very limited;3,39;4;Weak;6,5;2;Substantial;3,68;4;Flawed
Central African Republic;3;104;3,88;93;3,93;4,0;2;4;9;1;5,3;6;3;6;6;3,8;6;2;3;4;3,0;3;3;3,7;5;3;n/a;3;107;3,82;1,0;1;4,3;3;4;6;4;6,5;9;4;3,5;3;4;2,5;2;3;6,0;6;3,0;3;3;82;4,58;8,9;10;8;8;10;10;7,1;4,70;4,0;3;4;5;3,7;3;4;4;4,8;6;4;5;5;4;6,3;7;6;6;;;3,22;3,93;0,72;�;3,14;3,82;0,68;�;3,91;4,58;0,67;�;;;6;3;6;6;6;4;1,5;2;Aut.;;;3,88;5;Failed;3,93;5;Hard-line autocracy;3,82;4;Very limited;4,58;3;Moderate;8,9;1;Massive;4,70;4;Flawed
Chad;3;116;3,24;116;2,83;5,3;3;8;8;2;2,5;3;1;4;2;1,8;1;2;2;2;2,0;2;2;2,7;2;3;n/a;3;113;3,64;1,0;1;5,0;3;6;6;5;5,0;7;3;3,5;3;4;2,5;3;2;6,0;6;2,5;3;2;114;2,61;8,8;9;9;8;9;10;7,5;2,68;2,0;1;3;2;2,3;2;3;2;2,4;2;2;2;3;3;4,0;3;5;4;;;3,53;2,83;-0,70;�;4,18;3,64;-0,54;�;3,25;2,61;-0,64;�;;;3;1;4;2;1;2;2,5;6;Aut.;;;3,24;5;Failed;2,83;5;Hard-line autocracy;3,64;4;Very limited;2,61;5;Failed;8,8;1;Massive;2,68;5;Poor
Chile;2;8;8,99;9;9,30;9,8;10;10;9;10;9,5;9;9;10;10;9,3;10;9;9;9;10,0;10;10;8,0;9;8;8;7;11;8,68;8,0;8;9,8;10;9;10;10;10,0;10;10;10,0;10;10;7,5;8;7;9,0;9;6,5;7;6;1;7,55;2,4;3;3;2;4;1;1,5;9,08;9,0;10;9;8;8,7;9;8;9;9,0;10;9;9;8;9;9,7;10;10;9;;;9,10;9,30;0,20;�;8,61;8,68;0,07;�;7,51;7,55;0,04;�;;;9;9;10;10;10;9;10;0;Dem.;;;8,99;1;Highly advanced;9,30;1;Democracy in consolidation;8,68;1;Highly advanced;7,55;1;Very good;2,4;5;Negligible;9,08;1;Excellent
China;7;85;4,70;112;3,15;8,8;9;8;10;8;2,0;2;2;2;2;2,0;1;2;3;2;1,0;1;1;2,0;1;2;n/a;3;51;6,25;5,0;5;6,3;5;6;8;6;7,0;6;8;5,5;6;5;4,5;5;4;10,0;10;5,5;4;7;68;4,86;5,8;5;9;5;7;3;5,6;5,37;5,0;5;5;5;5,0;5;6;4;4,8;7;2;8;3;4;6,7;5;8;7;;;3,05;3,15;0,10;�;5,79;6,25;0,46;�;4,49;4,86;0,37;�;;;2;2;2;2;1;2;8,5;6;Aut.;;;4,70;4;Very limited;3,15;5;Hard-line autocracy;6,25;3;Limited;4,86;3;Moderate;5,8;3;Moderate;5,37;3;Fair
Colombia;2;46;6,21;70;5,75;6,3;4;7;9;5;6,0;6;6;6;6;5,3;6;5;5;5;6,0;6;6;5,3;5;6;6;4;39;6,68;6,0;6;6,8;5;7;8;7;8,5;9;8;7,0;6;8;5,5;5;6;8,0;8;5,0;5;5;57;5,14;5,5;8;5;7;6;2;5,3;5,70;6,0;6;6;6;5,0;6;5;4;4,8;7;5;4;4;4;7,0;7;7;7;;;5,85;5,75;-0,10;�;6,36;6,68;0,32;�;5,24;5,14;-0,11;�;;;6;6;6;6;6;5;4,5;0;Dem.;;;6,21;3;Limited;5,75;3;Highly defective democracy;6,68;3;Limited;5,14;3;Moderate;5,5;3;Moderate;5,70;3;Fair
Congo, DR;3;119;3,16;102;3,72;5,0;3;6;9;2;5,0;6;3;6;5;2,3;3;2;2;2;3,0;3;3;3,3;2;4;n/a;4;121;2,61;1,0;1;2,8;2;2;3;4;3,0;3;3;3,5;3;4;1,0;1;1;5,0;5;2,0;2;2;106;3,36;8,6;10;7;8;10;9;7,4;3,47;3,3;4;3;3;2,0;2;2;2;4,2;6;4;4;4;3;4,3;5;4;4;;;2,60;3,72;1,12;�;2,64;2,61;-0,04;�;2,46;3,36;0,89;�;;;6;3;6;5;3;2;2,5;4;Aut.;;;3,16;5;Failed;3,72;5;Hard-line autocracy;2,61;5;Rudimentary;3,36;4;Weak;8,6;1;Massive;3,47;4;Flawed
Congo, Rep.;3;107;3,78;105;3,63;6,0;6;6;8;4;3,5;3;2;4;5;3,0;3;3;3;3;2,0;2;2;3,7;3;4;n/a;4;101;3,93;3,0;3;3,0;3;2;3;4;7,0;8;6;3,0;3;3;3,0;3;3;6,0;6;2,5;3;2;102;3,77;7,4;9;8;8;8;5;6,5;4,00;4,0;4;4;4;3,0;3;3;3;3,0;4;2;3;3;3;6,0;6;6;6;;;-;3,63;-;;-;3,93;-;;-;3,77;-;;;;3;2;4;5;3;3;5;4;Aut.;;;3,78;5;Failed;3,63;5;Hard-line autocracy;3,93;4;Very limited;3,77;4;Weak;7,4;2;Substantial;4,00;4;Flawed
Costa Rica;2;12;8,73;5;9,50;9,8;10;10;10;9;10,0;10;10;10;10;9,5;10;10;8;10;9,5;9;10;8,8;8;9;10;8;16;7,96;8,0;8;8,8;9;8;10;8;8,0;8;8;8,5;9;8;7,5;8;7;8,0;8;7,0;8;6;15;6,73;2,6;4;2;1;5;2;1,4;8,06;7,3;8;7;7;7,0;7;7;7;9,3;10;10;9;8;n/a;8,7;9;9;8;;;9,40;9,50;0,10;�;8,00;7,96;-0,04;�;6,66;6,73;0,07;�;;;10;10;10;10;10;10;9,5;0;Dem.;;;8,73;1;Highly advanced;9,50;1;Democracy in consolidation;7,96;2;Advanced;6,73;2;Good;2,6;4;Minor;8,06;1;Excellent
C�te d'Ivoire;3;118;3,22;115;2,90;3,8;2;3;7;3;3,3;3;2;4;4;2,5;2;3;2;3;2,0;2;2;3,0;3;3;n/a;3;115;3,54;2,0;2;3,8;4;2;4;5;5,0;7;3;5,0;4;6;2,5;3;2;4,0;4;2,5;3;2;118;2,17;8,1;8;8;7;8;10;7,9;2,27;2,0;1;3;2;1,7;2;1;2;2,4;3;2;2;2;3;3,0;4;2;3;;;2,85;2,90;0,05;�;3,43;3,54;0,11;�;1,83;2,17;0,34;�;;;3;2;4;4;2;3;2,5;5;Aut.;;;3,22;5;Failed;2,90;5;Hard-line autocracy;3,54;4;Very limited;2,17;5;Failed;8,1;2;Substantial;2,27;5;Poor
