"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 08;  Democracy Status 10;  Trend Democracy;;  Economy Status 08;  Economy Status 10;  Trend Economy;;  Governance Index 08;  Governance Index 10;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Benin;3;44;6,31;29;7,70;8,0;8;9;9;6;8,8;9;9;10;7;6,8;7;7;5;8;8,5;7;10;6,5;4;7;9;6;84;4,93;2,0;2;6,0;5;5;8;6;7,0;7;7;5,0;5;5;4,0;4;4;7,0;7;3,5;4;3;22;6,42;6,3;8;4;3;9;10;3,6;7,00;6,0;6;6;6;5,3;5;6;5;8,0;8;9;9;6;n/a;8,7;8;9;9;;;7,90;7,70;-0,20;â;4,79;4,93;0,14;â;6,20;6,42;0,22;â;;;9;9;10;7;7;8;7;0;Dem.;;;6,31;3;Limited;7,70;2;Defective democracy;4,93;4;Very limited;6,42;2;Good;6,3;3;Moderate;7,00;2;Sound
Bhutan;7;102;4,36;82;4,65;6,8;7;6;7;7;5,0;7;2;5;6;5,5;4;4;8;6;2,0;2;2;4,0;4;3;n/a;5;103;4,07;2,0;2;2,5;3;2;3;2;5,0;3;7;5,5;6;5;3,0;3;3;6,0;6;4,5;7;2;48;5,57;7,1;6;9;5;8;10;4,9;5,95;5,0;5;5;5;6,0;5;7;6;4,8;5;7;5;4;3;8,0;8;9;7;;;3,75;4,65;0,90;æ;3,68;4,07;0,39;â;5,02;5,57;0,55;æ;;;7;2;5;6;4;6;7;1;Aut.;;;4,36;4;Very limited;4,65;4;Moderate autocracy;4,07;4;Very limited;5,57;3;Moderate;7,1;2;Substantial;5,95;3;Fair
Bolivia;2;54;5,98;47;6,50;7,8;6;8;10;7;7,8;9;7;8;7;5,5;6;5;5;6;6,0;6;6;5,5;5;6;6;5;67;5,46;3,0;3;5,8;4;6;6;7;7,5;8;7;5,0;5;5;5,0;5;5;7,0;7;5,0;5;5;72;4,72;5,7;7;6;7;8;2;4,4;5,22;4,7;4;4;6;4,3;4;5;4;6,2;5;7;4;8;7;5,7;6;5;6;;;6,40;6,50;0,10;â;5,11;5,46;0,36;â;4,73;4,72;-0,01;â;;;9;7;8;7;6;6;6,5;0;Dem.;;;5,98;3;Limited;6,50;2;Defective democracy;5,46;3;Limited;4,72;3;Moderate;5,7;3;Moderate;5,22;3;Fair
Bosnia and Herzegovina;1;39;6,43;47;6,50;7,0;8;4;8;8;8,0;9;8;9;6;6,8;8;6;6;7;5,5;6;5;5,3;5;5;6;5;45;6,36;6,0;6;7,5;6;8;9;7;8,0;9;7;7,0;7;7;5,5;6;5;5,0;5;5,5;6;5;79;4,49;4,4;5;5;5;5;2;4,1;5,13;5,0;5;5;5;4,3;4;4;5;5,2;9;6;2;5;4;6,0;6;5;7;;;6,70;6,50;-0,20;â;6,32;6,36;0,04;â;4,61;4,49;-0,12;â;;;9;8;9;6;8;7;8;0;Dem.;;;6,43;3;Limited;6,50;2;Defective democracy;6,36;3;Limited;4,49;3;Moderate;4,4;4;Minor;5,13;3;Fair
Botswana;5;19;7,81;18;8,40;8,8;9;8;10;8;8,8;9;10;9;7;8,0;8;9;8;7;9,0;9;9;7,5;7;7;9;7;24;7,21;5,0;5;8,5;8;8;9;9;7,5;7;8;8,0;9;7;6,5;6;7;8,0;8;7,0;7;7;5;7,21;4,1;6;5;2;5;4;2,6;8,29;7,3;8;7;7;8,3;8;9;8;8,5;10;9;8;7;n/a;9,0;9;9;9;;;8,45;8,40;-0,05;â;7,43;7,21;-0,21;â;7,27;7,21;-0,06;â;;;9;10;9;7;8;7;8,5;0;Dem.;;;7,81;2;Advanced;8,40;1;Democracy in consolidation;7,21;2;Advanced;7,21;1;Very good;4,1;4;Minor;8,29;1;Excellent
Brazil;2;17;8,05;20;8,20;8,5;7;9;10;8;9,0;10;9;9;8;7,8;9;7;8;7;8,5;8;9;7,3;6;8;8;7;19;7,89;6,0;6;8,3;8;9;7;9;10,0;10;10;8,5;9;8;7,0;7;7;9,0;9;6,5;6;7;6;7,18;3,3;5;3;3;4;2;2,9;8,43;8,0;9;7;8;7,3;8;7;7;8,4;9;8;8;9;8;10,0;10;10;10;;;7,95;8,20;0,25;â;7,86;7,89;0,04;â;6,70;7,18;0,48;â;;;10;9;9;8;9;7;7,5;0;Dem.;;;8,05;2;Advanced;8,20;1;Democracy in consolidation;7,89;2;Advanced;7,18;1;Very good;3,3;4;Minor;8,43;1;Excellent
Bulgaria;1;14;8,36;14;8,75;9,8;9;10;10;10;9,3;10;9;10;8;8,3;9;8;7;9;9,0;9;9;7,5;6;8;9;7;16;7,96;7,0;7;8,8;8;9;10;8;9,0;9;9;9,0;9;9;7,0;7;7;8,0;8;7,0;8;6;13;6,73;3,2;4;4;3;5;1;2,;7,93;7,3;8;7;7;7,0;7;7;7;8,4;10;9;7;8;8;9,0;9;8;10;;;8,70;8,75;0,05;â;8,18;7,96;-0,21;â;6,76;6,73;-0,03;â;;;10;9;10;8;9;9;9,5;0;Dem.;;;8,36;2;Advanced;8,75;1;Democracy in consolidation;7,96;2;Advanced;6,73;2;Good;3,2;4;Minor;7,93;2;Sound
Burkina Faso;3;87;4,74;74;5,17;8,0;8;9;9;6;5,5;6;3;6;7;4,0;3;4;3;6;3,0;3;3;5,3;5;5;n/a;6;96;4,32;1,0;1;5,3;5;6;5;5;6,5;7;6;5,5;5;6;3,0;3;3;6,0;6;3,0;4;2;68;4,88;6,8;9;5;2;10;10;5,;5,25;4,3;5;4;4;3,7;3;5;3;5,0;6;5;6;5;3;8,0;8;8;8;;;6,25;5,17;-1,08;ä;4,54;4,32;-0,21;â;4,56;4,88;0,32;â;;;6;3;6;7;3;6;7;2;Aut.;;;4,74;4;Very limited;5,17;4;Moderate autocracy;4,32;4;Very limited;4,88;3;Moderate;6,8;2;Substantial;5,25;3;Fair
Burundi;5;94;4,54;71;5,33;6,8;5;8;8;6;6,0;8;6;5;5;4,3;5;4;4;4;5,0;5;5;4,7;6;4;n/a;4;114;3,75;3,0;3;3,8;4;4;4;3;5,0;5;5;4,5;4;5;2,5;2;3;4,0;4;3,5;4;3;78;4,55;8,1;9;8;7;10;9;5,5;4,75;4,3;4;4;5;3,7;5;3;3;5,0;5;6;6;4;4;6,0;5;6;7;;;5,80;5,33;-0,47;â;3,75;3,75;0,00;â;4,80;4,55;-0,25;â;;;8;6;5;5;5;4;5,5;0;Dem.;;;4,54;4;Very limited;5,33;3;Highly defective democracy;3,75;4;Very limited;4,55;3;Moderate;8,1;2;Substantial;4,75;4;Flawed
Cambodia;7;100;4,41;93;4,10;7,5;8;8;9;5;4,0;5;2;4;5;3,0;3;3;2;4;2,0;2;2;4,0;4;4;n/a;4;90;4,71;4,0;4;5,0;5;4;6;5;6,5;6;7;5,5;4;7;3,0;3;3;6,0;6;3,0;3;3;103;3,79;7,0;8;9;4;9;6;5,8;4,07;3,3;3;4;3;3,0;3;4;2;4,6;4;5;6;4;4;5,3;4;5;7;;;4,13;4,10;-0,03;â;4,82;4,71;-0,11;â;3,82;3,79;-0,03;â;;;5;2;4;5;3;4;6,5;3;Aut.;;;4,41;4;Very limited;4,10;4;Moderate autocracy;4,71;4;Very limited;3,79;4;Weak;7,0;2;Substantial;4,07;4;Flawed
Cameroon;3;101;4,40;97;4,02;6,5;7;5;9;5;3,5;3;2;5;4;3,8;4;4;4;3;2,0;2;2;4,3;4;5;n/a;4;87;4,79;3,0;3;5,0;4;5;5;6;6,5;8;5;4,5;4;5;4,5;4;5;6,0;6;4,0;4;4;111;3,24;6,5;6;7;6;8;6;5,9;3,52;2,7;2;3;3;3,3;3;4;3;3,4;4;4;3;3;3;4,7;5;5;4;;;4,13;4,02;-0,12;â;4,79;4,79;0,00;â;3,39;3,24;-0,15;â;;;3;2;5;4;4;3;6;3;Aut.;;;4,40;4;Very limited;4,02;4;Moderate autocracy;4,79;4;Very limited;3,24;4;Weak;6,5;2;Substantial;3,52;4;Flawed
Central African Republic;3;117;3,52;106;3,58;3,8;2;4;8;1;5,0;6;3;6;5;3,5;5;3;3;3;2,0;2;2;3,7;5;3;n/a;3;118;3,46;1,0;1;3,8;3;4;4;4;5,5;7;4;3,0;3;3;2,5;2;3;6,0;6;2,5;3;2;82;4,45;8,9;10;8;8;10;10;7,4;4,57;4,0;4;4;4;3,3;3;4;3;4,6;6;4;5;4;4;6,3;7;6;6;;;3,93;3,58;-0,35;â;3,82;3,46;-0,36;â;4,58;4,45;-0,13;â;;;6;3;6;5;5;3;1,5;3;Aut.;;;3,52;5;Failed;3,58;5;Hard-line autocracy;3,46;4;Very limited;4,45;3;Moderate;8,9;1;Massive;4,57;4;Flawed
Chad;3;122;3,01;122;2,83;5,5;4;8;8;2;2,3;3;1;3;2;1,8;1;2;2;2;2,0;2;2;2,7;2;3;n/a;3;120;3,18;1,0;1;4,8;3;6;5;5;4,0;6;2;3,5;3;4;2,5;3;2;4,0;4;2,5;3;2;121;2,20;8,7;9;9;8;9;10;7,4;2,27;1,3;1;2;1;2,0;2;2;2;2,4;2;2;2;3;3;3,3;3;3;4;;;2,83;2,83;0,00;â;3,64;3,18;-0,46;â;2,61;2,20;-0,41;â;;;3;1;3;2;1;2;3;6;Aut.;;;3,01;5;Failed;2,83;5;Hard-line autocracy;3,18;4;Very limited;2,20;5;Failed;8,7;1;Massive;2,27;5;Poor
Chile;2;9;8,99;8;9,30;9,8;10;10;9;10;9,8;10;9;10;10;9,3;10;9;9;9;10,0;10;10;7,8;9;8;7;7;10;8,68;8,0;8;9,8;10;9;10;10;10,0;10;10;10,0;10;10;7,5;8;7;9,0;9;6,5;7;6;2;7,38;2,3;3;3;2;3;1;1,5;8,92;8,7;10;8;8;8,3;8;8;9;9,0;10;9;9;8;9;9,7;10;10;9;;;9,30;9,30;0,00;â;8,68;8,68;0,00;â;7,55;7,38;-0,17;â;;;10;9;10;10;10;9;10;0;Dem.;;;8,99;1;Highly advanced;9,30;1;Democracy in consolidation;8,68;1;Highly advanced;7,38;1;Very good;2,3;5;Negligible;8,92;1;Excellent
China;7;86;4,79;113;3,37;8,8;9;8;10;8;2,0;2;2;2;2;2,3;2;2;3;2;1,5;1;2;2,3;1;2;n/a;4;49;6,21;5,0;5;6,5;6;6;8;6;7,0;6;8;6,0;6;6;5,0;5;5;8,0;8;6,0;5;7;63;5,00;5,8;5;9;5;7;3;5,5;5,52;5,0;5;5;5;5,0;5;6;4;4,4;7;2;6;3;4;7,7;7;8;8;;;3,15;3,37;0,22;â;6,25;6,21;-0,04;â;4,86;5,00;0,13;â;;;2;2;2;2;2;2;8,5;6;Aut.;;;4,79;4;Very limited;3,37;5;Hard-line autocracy;6,21;3;Limited;5,00;3;Moderate;5,8;3;Moderate;5,52;3;Fair
Colombia;2;43;6,33;60;5,95;6,8;5;7;9;6;6,3;6;6;7;6;5,3;5;6;5;5;6,0;6;6;5,5;5;6;7;4;36;6,71;5,0;5;7,5;7;7;8;8;8,5;9;8;7,5;7;8;5,5;5;6;8,0;8;5,0;5;5;57;5,36;5,3;8;4;8;5;2;5,;5,98;6,0;6;6;6;5,3;6;6;4;5,6;7;6;5;4;6;7,0;8;7;6;;;5,75;5,95;0,20;â;6,68;6,71;0,04;â;5,14;5,36;0,23;â;;;6;6;7;6;5;5;5,5;0;Dem.;;;6,33;3;Limited;5,95;3;Highly defective democracy;6,71;3;Limited;5,36;3;Moderate;5,3;3;Moderate;5,98;3;Fair
Congo, DR;3;121;3,17;107;3,55;4,8;3;6;8;2;4,3;6;3;4;4;2,8;3;2;3;3;2,0;2;2;4,0;4;4;n/a;4;123;2,79;1,0;1;3,0;2;2;4;4;3,5;4;3;3,0;3;3;1,0;1;1;6,0;6;2,0;2;2;114;2,99;8,4;10;7;8;10;8;7,3;3,10;3,0;3;3;3;2,0;2;2;2;3,4;3;3;4;4;3;4,0;5;4;3;;;3,72;3,55;-0,17;â;2,61;2,79;0,18;â;3,36;2,99;-0,37;â;;;6;3;4;4;3;3;2,5;4;Aut.;;;3,17;5;Failed;3,55;5;Hard-line autocracy;2,79;5;Rudimentary;2,99;5;Failed;8,4;2;Substantial;3,10;4;Flawed
Congo, Rep.;3;112;3,62;109;3,53;5,8;6;5;8;4;3,3;3;2;4;4;3,0;3;3;3;3;2,0;2;2;3,7;4;3;n/a;4;115;3,71;3,0;3;3,0;3;2;3;4;5,5;6;5;3,0;3;3;3,0;3;3;6,0;6;2,5;3;2;104;3,69;7,3;9;8;7;8;5;6,6;3,93;4,0;4;4;4;2,7;3;3;2;3,4;4;3;4;3;3;5,7;5;6;6;;;3,63;3,53;-0,10;â;3,93;3,71;-0,21;â;3,77;3,69;-0,08;â;;;3;2;4;4;3;3;5;4;Aut.;;;3,62;5;Failed;3,53;5;Hard-line autocracy;3,71;4;Very limited;3,69;4;Weak;7,3;2;Substantial;3,93;4;Flawed
Costa Rica;2;10;8,86;6;9,40;10,0;10;10;10;10;9,8;10;10;9;10;9,5;10;10;8;10;9,0;8;10;8,8;8;9;10;8;13;8,32;8,0;8;8,8;9;8;10;8;8,5;8;9;8,5;9;8;8,0;8;8;9,0;9;7,5;8;7;15;6,66;2,4;4;2;1;4;2;1,3;8,02;7,7;9;7;7;7,0;7;7;7;8,8;9;10;8;8;n/a;8,7;9;9;8;;;9,50;9,40;-0,10;â;7,96;8,32;0,36;â;6,73;6,66;-0,07;â;;;10;10;9;10;10;10;10;0;Dem.;;;8,86;1;Highly advanced;9,40;1;Democracy in consolidation;8,32;1;Highly advanced;6,66;2;Good;2,4;5;Negligible;8,02;1;Excellent
Côte d'Ivoire;3;115;3,53;116;3,20;4,8;3;4;7;5;3,5;2;2;5;5;2,8;2;3;3;3;2,0;2;2;3,0;3;3;n/a;3;109;3,86;2,0;2;4,5;5;2;5;6;5,0;7;3;5,0;4;6;2,5;3;2;5,0;5;3,0;3;3;116;2,91;7,9;8;8;6;8;10;7,3;3,05;2,7;2;3;3;2,0;2;2;2;3,2;4;3;4;2;3;4,3;4;4;5;;;2,90;3,20;0,30;â;3,54;3,86;0,32;â;2,17;2,91;0,73;æ;;;2;2;5;5;2;3;4;4;Aut.;;;3,53;5;Failed;3,20;5;Hard-line autocracy;3,86;4;Very limited;2,91;5;Failed;7,9;2;Substantial;3,05;4;Flawed
