"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 10;  Democracy Status 12;  Trend Democracy;;  Economy Status 10;  Economy Status 12;  Trend Economy;;  Governance Index 10;  Governance Index 12;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Benin;3;38;6,44;25;7,70;8,3;9;9;9;6;9,0;9;9;10;8;6,3;7;6;4;8;8,0;7;9;7,0;5;8;9;6;75;5,18;3,0;3;6,3;5;5;8;7;7,5;8;7;5,5;5;6;4,5;4;5;6,0;6;3,5;4;3;29;6,07;6,0;8;3;3;9;9;3,8;6,67;5,3;5;5;6;5,0;5;5;5;8,0;8;9;9;6;n/a;8,3;7;9;9;;;7,70;7,70;0,00;â;4,93;5,18;0,25;â;6,42;6,07;-0,35;â;;;9;9;10;8;7;8;7,5;0;Dem.;;;6,44;3;Limited;7,70;2;Defective democracy;5,18;3;Limited;6,07;2;Good;6,0;3;Moderate;6,67;2;Sound
Bhutan;7;91;4,58;80;4,80;6,8;7;6;7;7;5,0;7;2;5;6;6,3;5;6;8;6;2,0;2;2;4,0;4;3;n/a;5;98;4,36;3,0;3;2,5;3;2;3;2;5,5;3;8;5,5;6;5;3,5;3;4;6,0;6;4,5;7;2;38;5,77;7,1;6;9;5;8;10;4,5;6,17;5,0;5;5;5;6,3;6;7;6;5,0;6;7;5;4;3;8,3;9;9;7;;;4,65;4,80;0,15;â;4,07;4,36;0,29;â;5,57;5,77;0,19;â;;;7;2;5;6;5;6;7;1;Aut.;;;4,58;4;Very limited;4,80;4;Moderate autocracy;4,36;4;Very limited;5,77;2;Good;7,1;2;Substantial;6,17;2;Sound
Bolivia;2;46;6,23;39;6,85;8,3;7;9;10;7;8,3;9;8;9;7;5,5;6;5;5;6;6,5;7;6;5,8;5;6;7;5;64;5,61;3,0;3;5,8;4;6;6;7;8,0;8;8;4,5;5;4;5,0;5;5;8,0;8;5,0;5;5;61;5,22;5,5;7;6;6;8;2;4,1;5,80;6,0;6;6;6;4,7;4;6;4;6,2;5;7;4;8;7;6,3;7;5;7;;;6,50;6,85;0,35;â;5,46;5,61;0,14;â;4,72;5,22;0,50;æ;;;9;8;9;7;6;6;7;0;Dem.;;;6,23;3;Limited;6,85;2;Defective democracy;5,61;3;Limited;5,22;3;Moderate;5,5;3;Moderate;5,80;3;Fair
Bosnia and Herzegovina;1;39;6,41;49;6,40;6,8;8;3;8;8;7,5;8;8;8;6;6,8;8;6;6;7;5,5;6;5;5,5;5;6;6;5;42;6,43;6,0;6;7,5;6;8;9;7;8,5;9;8;7,0;7;7;5,5;6;5;5,0;5;5,5;6;5;95;4,04;4,5;5;5;5;5;3;4,3;4,60;4,3;4;5;4;3,7;3;4;4;4,4;7;5;2;5;3;6,0;6;4;8;;;6,50;6,40;-0,10;â;6,36;6,43;0,07;â;4,49;4,04;-0,45;â;;;8;8;8;6;8;7;8;0;Dem.;;;6,41;3;Limited;6,40;2;Defective democracy;6,43;3;Limited;4,04;4;Weak;4,5;3;Moderate;4,60;4;Flawed
Botswana;5;19;7,78;17;8,35;9,3;10;9;10;8;8,8;9;10;9;7;8,0;7;9;8;8;8,5;8;9;7,3;7;6;9;7;25;7,21;4,0;4;8,0;8;7;9;8;8,0;8;8;8,5;9;8;7,0;7;7;8,0;8;7,0;7;7;7;7,11;3,9;5;6;2;5;3;2,4;8,23;7,7;8;7;8;8,0;7;9;8;8,3;9;9;8;7;n/a;9,0;9;9;9;;;8,40;8,35;-0,05;â;7,21;7,21;0,00;â;7,21;7,11;-0,09;â;;;9;10;9;7;7;8;9;0;Dem.;;;7,78;2;Advanced;8,35;1;Democracy in consolidation;7,21;2;Advanced;7,11;1;Very good;3,9;4;Minor;8,23;1;Excellent
Brazil;2;18;8,06;22;8,15;8,5;7;9;10;8;9,0;10;9;9;8;7,5;9;7;7;7;8,5;8;9;7,3;6;8;8;7;16;7,96;6,0;6;8,3;8;9;7;9;10,0;10;10;8,5;9;8;7,0;7;7;9,0;9;7,0;7;7;4;7,32;3,7;5;3;3;4;4;3,;8,52;8,3;9;8;8;7,3;8;7;7;8,4;9;8;8;9;8;10,0;10;10;10;;;8,20;8,15;-0,05;â;7,89;7,96;0,07;â;7,18;7,32;0,14;â;;;10;9;9;8;9;7;7,5;0;Dem.;;;8,06;2;Advanced;8,15;1;Democracy in consolidation;7,96;2;Advanced;7,32;1;Very good;3,7;4;Minor;8,52;1;Excellent
Bulgaria;1;14;8,29;13;8,65;10,0;10;10;10;10;9,0;9;9;10;8;8,5;9;8;8;9;8,5;8;9;7,3;6;8;8;7;17;7,93;7,0;7;9,0;8;9;10;9;8,5;9;8;9,0;9;9;7,0;7;7;8,0;8;7,0;8;6;17;6,65;3,1;4;4;3;4;2;1,8;7,85;7,3;8;7;7;6,7;7;6;7;8,4;10;9;7;8;8;9,0;9;8;10;;;8,75;8,65;-0,10;â;7,96;7,93;-0,04;â;6,73;6,65;-0,08;â;;;9;9;10;8;9;9;10;0;Dem.;;;8,29;2;Advanced;8,65;1;Democracy in consolidation;7,93;2;Advanced;6,65;2;Good;3,1;4;Minor;7,85;2;Sound
Burkina Faso;3;86;4,78;72;5,17;8,0;8;9;9;6;5,5;6;3;6;7;4,0;3;4;3;6;3,0;3;3;5,3;5;5;n/a;6;97;4,39;1,0;1;5,8;6;6;5;6;7,0;8;6;5,5;5;6;3,0;3;3;6,0;6;2,5;3;2;71;4,74;6,7;9;5;2;9;10;5,;5,12;4,3;5;4;4;3,7;3;5;3;4,8;6;5;6;4;3;7,7;7;8;8;;;5,17;5,17;0,00;â;4,32;4,39;0,07;â;4,88;4,74;-0,14;â;;;6;3;6;7;3;6;7;2;Aut.;;;4,78;4;Very limited;5,17;4;Moderate autocracy;4,39;4;Very limited;4,74;3;Moderate;6,7;2;Substantial;5,12;3;Fair
Burundi;5;90;4,59;73;5,15;7,5;6;8;9;7;5,5;6;6;6;4;4,3;5;4;4;4;4,5;4;5;4,0;5;4;n/a;3;107;4,04;2,0;2;3,8;4;4;4;3;6,0;6;6;4,5;4;5;4,0;3;5;4,0;4;4,0;4;4;82;4,46;8,2;9;8;7;10;10;5,1;4,65;4,3;4;4;5;3,7;4;4;3;4,6;5;5;6;3;4;6,0;6;5;7;;;5,33;5,15;-0,18;â;3,75;4,04;0,29;â;4,55;4,46;-0,08;â;;;6;6;6;4;5;4;6,5;0;Dem.;;;4,59;4;Very limited;5,15;3;Highly defective democracy;4,04;4;Very limited;4,46;3;Moderate;8,2;2;Substantial;4,65;4;Flawed
Cambodia;7;105;4,18;101;3,82;7,8;8;8;10;5;3,3;4;2;3;4;2,8;2;3;2;4;2,0;2;2;3,3;3;3;n/a;4;93;4,54;4,0;4;4,8;5;3;6;5;6,0;6;6;5,0;3;7;3,0;3;3;6,0;6;3,0;3;3;102;3,67;7,1;8;9;4;9;7;5,8;3,92;3,3;3;4;3;3,0;3;4;2;4,0;4;3;5;4;4;5,3;4;6;6;;;4,10;3,82;-0,28;â;4,71;4,54;-0,18;â;3,79;3,67;-0,13;â;;;4;2;3;4;2;4;6,5;4;Aut.;;;4,18;4;Very limited;3,82;5;Hard-line autocracy;4,54;4;Very limited;3,67;4;Weak;7,1;2;Substantial;3,92;4;Flawed
Cameroon;3;103;4,29;93;4,02;6,5;7;5;9;5;3,5;3;2;5;4;3,8;4;4;4;3;2,0;2;2;4,3;4;5;n/a;4;92;4,57;3,0;3;5,0;4;5;5;6;6,0;8;4;4,5;4;5;4,5;4;5;5,0;5;4,0;4;4;111;3,25;6,6;6;7;6;8;7;5,9;3,52;2,7;2;3;3;3,3;3;4;3;3,4;4;4;3;3;3;4,7;5;5;4;;;4,02;4,02;0,00;â;4,79;4,57;-0,21;â;3,24;3,25;0,01;â;;;3;2;5;4;4;3;6;3;Aut.;;;4,29;4;Very limited;4,02;4;Moderate autocracy;4,57;4;Very limited;3,25;4;Weak;6,6;2;Substantial;3,52;4;Flawed
Central African Republic;3;111;3,70;103;3,78;4,8;3;6;8;2;4,5;4;2;7;5;3,5;5;3;3;3;2,5;2;3;3,7;4;3;n/a;4;116;3,61;1,0;1;3,8;3;4;4;4;6,5;8;5;3,0;3;3;2,5;2;3;6,0;6;2,5;3;2;77;4,62;8,8;10;8;8;10;10;6,9;4,75;3,7;4;4;3;3,7;3;4;4;5,0;6;4;5;5;5;6,7;7;6;7;;;3,58;3,78;0,20;â;3,46;3,61;0,14;â;4,45;4,62;0,17;â;;;4;2;7;5;5;3;2,5;4;Aut.;;;3,70;5;Failed;3,78;5;Hard-line autocracy;3,61;4;Very limited;4,62;3;Moderate;8,8;1;Massive;4,75;4;Flawed
Chad;3;120;3,32;116;3,13;6,0;6;8;8;2;2,8;3;1;4;3;2,3;2;2;3;2;2,0;2;2;2,7;2;3;n/a;3;117;3,50;1,0;1;5,0;3;6;6;5;5,0;7;3;3,5;3;4;2,5;3;2;5,0;5;2,5;3;2;117;2,63;8,3;9;9;6;9;10;6,9;2,73;2,0;1;3;2;2,3;2;2;3;2,6;2;2;3;3;3;4,0;4;3;5;;;2,83;3,13;0,30;â;3,18;3,50;0,32;â;2,20;2,63;0,43;â;;;3;1;4;3;2;2;4;5;Aut.;;;3,32;5;Failed;3,13;5;Hard-line autocracy;3,50;4;Very limited;2,63;5;Failed;8,3;2;Substantial;2,73;5;Poor
Chile;2;9;8,87;8;9,20;9,8;10;10;9;10;9,5;10;9;9;10;9,3;10;9;9;9;10,0;10;10;7,5;8;8;7;7;12;8,54;7,0;7;9,8;10;9;10;10;10,0;10;10;10,0;10;10;7,5;8;7;9,0;9;6,5;7;6;5;7,22;2,3;3;3;2;3;1;1,5;8,72;8,3;9;8;8;8,3;8;8;9;8,2;9;9;8;7;8;10,0;10;10;10;;;9,30;9,20;-0,10;â;8,68;8,54;-0,14;â;7,38;7,22;-0,17;â;;;10;9;9;10;10;9;10;0;Dem.;;;8,87;1;Highly advanced;9,20;1;Democracy in consolidation;8,54;1;Highly advanced;7,22;1;Very good;2,3;5;Negligible;8,72;1;Excellent
China;7;82;4,94;113;3,32;8,8;9;8;10;8;1,8;1;2;2;2;2,3;2;2;3;2;1,5;1;2;2,3;1;2;n/a;4;38;6,57;5,0;5;6,5;6;6;8;6;7,0;6;8;6,0;6;6;5,0;5;5;10,0;10;6,5;5;8;64;5,04;6,1;6;9;5;6;5;5,5;5,52;5,0;5;5;5;5,0;5;6;4;4,4;7;2;6;3;4;7,7;7;8;8;;;3,37;3,32;-0,05;â;6,21;6,57;0,36;â;5,00;5,04;0,04;â;;;1;2;2;2;2;2;8,5;6;Aut.;;;4,94;4;Very limited;3,32;5;Hard-line autocracy;6,57;3;Limited;5,04;3;Moderate;6,1;3;Moderate;5,52;3;Fair
Colombia;2;41;6,28;62;6,05;7,0;6;7;9;6;6,3;6;6;7;6;5,5;6;6;5;5;6,0;6;6;5,5;5;6;6;5;41;6,50;5,0;5;7,0;6;7;7;8;8,5;9;8;7,5;7;8;5,5;5;6;7,0;7;5,0;5;5;52;5,40;5,6;8;5;7;5;4;4,8;5,98;6,0;7;6;5;5,0;5;6;4;5,6;7;6;5;4;6;7,3;8;7;7;;;5,95;6,05;0,10;â;6,71;6,50;-0,21;â;5,36;5,40;0,04;â;;;6;6;7;6;6;5;6;0;Dem.;;;6,28;3;Limited;6,05;2;Defective democracy;6,50;3;Limited;5,40;3;Moderate;5,6;3;Moderate;5,98;3;Fair
Congo, DR;3;122;3,09;107;3,60;5,0;3;7;8;2;4,3;6;3;4;4;2,8;3;2;3;3;2,0;2;2;4,0;4;4;n/a;4;124;2,57;1,0;1;3,0;2;2;4;4;3,0;3;3;3,0;3;3;1,0;1;1;5,0;5;2,0;2;2;114;3,12;8,7;10;7;8;10;10;7,1;3,22;3,0;3;3;3;2,0;2;2;2;3,2;3;3;3;4;3;4,7;5;4;5;;;3,55;3,60;0,05;â;2,79;2,57;-0,21;â;2,99;3,12;0,13;â;;;6;3;4;4;3;3;2,5;4;Aut.;;;3,09;5;Failed;3,60;5;Hard-line autocracy;2,57;5;Rudimentary;3,12;4;Weak;8,7;1;Massive;3,22;4;Flawed
Congo, Rep.;3;114;3,60;108;3,57;6,3;7;6;8;4;3,3;3;2;4;4;3,0;3;3;3;3;2,0;2;2;3,3;4;3;n/a;3;114;3,64;3,0;3;3,0;3;2;3;4;5,0;5;5;3,0;3;3;2,5;3;2;6,0;6;3,0;4;2;106;3,49;6,9;7;7;7;7;7;6,4;3,75;3,3;4;3;3;2,7;3;3;2;3,0;4;2;2;3;4;6,0;6;6;6;;;3,53;3,57;0,03;â;3,71;3,64;-0,07;â;3,69;3,49;-0,20;â;;;3;2;4;4;3;3;5,5;4;Aut.;;;3,60;5;Failed;3,57;5;Hard-line autocracy;3,64;4;Very limited;3,49;4;Weak;6,9;2;Substantial;3,75;4;Flawed
Costa Rica;2;10;8,84;6;9,40;10,0;10;10;10;10;9,8;10;10;9;10;9,5;10;10;8;10;9,0;8;10;8,8;7;9;10;9;13;8,29;7,0;7;8,5;8;8;10;8;9,0;9;9;9,0;9;9;8,0;8;8;9,0;9;7,5;8;7;10;6,98;2,7;4;2;1;4;4;1,3;8,33;7,7;9;7;7;7,3;7;7;8;9,0;9;10;9;8;n/a;9,3;9;10;9;;;9,40;9,40;0,00;â;8,32;8,29;-0,04;â;6,66;6,98;0,32;â;;;10;10;9;10;10;10;10;0;Dem.;;;8,84;1;Highly advanced;9,40;1;Democracy in consolidation;8,29;1;Highly advanced;6,98;2;Good;2,7;4;Minor;8,33;1;Excellent
Côte d'Ivoire;3;121;3,31;118;2,98;4,0;2;2;7;5;3,8;4;2;6;3;2,5;2;3;3;2;2,0;2;2;2,7;3;3;n/a;2;114;3,64;2,0;2;4,0;4;2;5;5;6,0;9;3;4,5;4;5;2,0;2;2;4,0;4;3,0;3;3;124;1,84;8,3;8;8;8;8;10;7,8;1,92;1,7;1;2;2;1,7;2;1;2;2,0;2;2;1;3;2;2,3;3;2;2;;;3,20;2,98;-0,22;â;3,86;3,64;-0,21;â;2,91;1,84;-1,06;ä;;;4;2;6;3;2;2;3,5;5;Aut.;;;3,31;5;Failed;2,98;5;Hard-line autocracy;3,64;4;Very limited;1,84;5;Failed;8,3;2;Substantial;1,92;5;Poor
