"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 12;  Democracy Status 14;  Trend Democracy;;  Economy Status 12;  Economy Status 14;  Trend Economy;;  Governance Index 12;  Governance Index 14;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Bhutan;7;63;5,70;54;6,40;7,0;8;6;7;7;7,0;8;7;6;7;7,0;7;7;8;6;7,0;7;7;4,0;4;3;n/a;5;80;5,00;4,0;4;3,5;3;3;4;4;5,5;4;7;5,5;6;5;4,0;3;5;7,0;7;5,5;7;4;23;6,27;6,7;6;9;4;7;10;4,;6,77;6,3;6;7;6;7,0;7;7;7;5,4;6;7;7;4;3;8,3;9;9;7;;;4,80;6,40;1,60;ã;4,36;5,00;0,64;æ;5,77;6,27;0,50;æ;;;8;7;6;7;7;6;7,5;0;Dem.;;;5,70;3;Limited;6,40;2;Defective democracy;5,00;3;Limited;6,27;2;Good;6,7;2;Substantial;6,77;2;Sound
Bolivia;2;39;6,50;37;7,10;8,3;7;9;10;7;8,5;9;8;9;8;6,0;7;6;5;6;6,5;7;6;6,3;6;7;7;5;53;5,89;4,0;4;5,8;4;6;6;7;8,0;8;8;4,5;5;4;5,0;5;5;9,0;9;5,0;5;5;54;5,34;5,5;7;6;6;8;2;3,9;5,93;6,3;7;6;6;4,7;4;6;4;6,4;5;7;5;8;7;6,3;7;5;7;;;6,85;7,10;0,25;â;5,61;5,89;0,29;â;5,22;5,34;0,11;â;;;9;8;9;8;7;6;7;0;Dem.;;;6,50;3;Limited;7,10;2;Defective democracy;5,89;3;Limited;5,34;3;Moderate;5,5;3;Moderate;5,93;3;Fair
Bosnia and Herzegovina;1;41;6,37;56;6,35;6,8;8;3;8;8;7,5;8;8;8;6;6,5;8;5;6;7;5,0;5;5;6,0;6;6;6;6;41;6,39;6,0;6;7,8;6;8;9;8;8,0;9;7;7,5;8;7;5,5;6;5;5,0;5;5,0;5;5;101;3,95;4,4;5;5;5;5;2;4,4;4,52;4,3;4;5;4;4,0;4;4;4;4,4;7;5;2;5;3;5,3;5;4;7;;;6,40;6,35;-0,05;â;6,43;6,39;-0,04;â;4,04;3,95;-0,09;â;;;8;8;8;6;8;7;8;0;Dem.;;;6,37;3;Limited;6,35;2;Defective democracy;6,39;3;Limited;3,95;4;Weak;4,4;4;Minor;4,52;4;Flawed
Botswana;5;18;7,91;15;8,35;9,3;10;9;10;8;8,8;8;10;9;8;7,8;7;9;7;8;9,0;9;9;7,0;7;6;8;7;22;7,46;5,0;5;8,3;8;7;9;9;8,5;8;9;8,5;9;8;7,0;7;7;8,0;8;7,0;7;7;9;7,01;3,8;5;6;2;4;3;2,5;8,15;7,3;8;7;7;8,0;7;9;8;8,3;9;9;8;7;n/a;9,0;9;9;9;;;8,35;8,35;0,00;â;7,21;7,46;0,25;â;7,11;7,01;-0,10;â;;;8;10;9;8;7;8;9;0;Dem.;;;7,91;2;Advanced;8,35;1;Democracy in consolidation;7,46;2;Advanced;7,01;1;Very good;3,8;4;Minor;8,15;1;Excellent
Brazil;2;17;8,02;19;8,15;8,3;7;9;9;8;9,0;10;9;9;8;7,8;9;7;8;7;8,5;8;9;7,3;6;8;8;7;18;7,89;6,0;6;8,3;8;9;7;9;10,0;10;10;9,0;9;9;7,0;7;7;8,0;8;7,0;7;7;3;7,27;3,2;5;3;3;2;3;3,;8,57;8,3;9;8;8;7,3;8;7;7;8,6;9;9;8;9;8;10,0;10;10;10;;;8,15;8,15;0,00;â;7,96;7,89;-0,07;â;7,32;7,27;-0,05;â;;;10;9;9;8;9;7;7,5;0;Dem.;;;8,02;2;Advanced;8,15;1;Democracy in consolidation;7,89;2;Advanced;7,27;1;Very good;3,2;4;Minor;8,57;1;Excellent
Bulgaria;1;14;8,14;15;8,35;9,8;10;9;10;10;8,5;8;9;10;7;8,0;8;8;8;8;8,5;8;9;7,0;6;8;7;7;17;7,93;7,0;7;9,0;8;9;10;9;9,0;9;9;9,0;9;9;7,0;7;7;7,0;7;7,5;8;7;20;6,38;3,2;4;4;4;4;1;2,1;7,52;6,7;7;7;6;6,3;7;6;6;8,4;10;9;7;8;8;8,7;9;8;9;;;8,65;8,35;-0,30;â;7,93;7,93;0,00;â;6,65;6,38;-0,27;â;;;8;9;10;7;8;8;10;0;Dem.;;;8,14;2;Advanced;8,35;1;Democracy in consolidation;7,93;2;Advanced;6,38;2;Good;3,2;4;Minor;7,52;2;Sound
Burkina Faso;3;84;4,96;71;5,23;7,8;7;10;8;6;5,5;6;3;6;7;4,3;3;4;4;6;3,0;3;3;5,7;5;6;n/a;6;90;4,68;1,0;1;5,8;5;6;6;6;7,5;8;7;6,0;6;6;3,0;3;3;6,0;6;3,5;5;2;61;5,01;7,0;9;5;4;9;10;5,;5,37;5,0;5;5;5;4,0;3;5;4;4,8;6;5;5;5;3;7,7;7;8;8;;;5,17;5,23;0,07;â;4,39;4,68;0,29;â;4,74;5,01;0,27;â;;;6;3;6;7;3;6;6,5;2;Aut.;;;4,96;4;Very limited;5,23;4;Moderate autocracy;4,68;4;Very limited;5,01;3;Moderate;7,0;2;Substantial;5,37;3;Fair
Burundi;5;98;4,41;80;4,72;7,5;7;8;8;7;4,8;7;3;5;4;4,0;5;4;4;3;3,0;3;3;4,3;5;4;n/a;4;104;4,11;2,0;2;3,8;4;4;4;3;6,0;6;6;5,0;4;6;4,0;3;5;4,0;4;4,0;4;4;92;4,14;8,0;9;8;7;10;9;5,3;4,33;4,3;4;4;5;3,3;4;4;2;4,0;5;4;6;2;3;5,7;5;5;7;;;5,15;4,72;-0,43;â;4,04;4,11;0,07;â;4,46;4,14;-0,32;â;;;7;3;5;4;5;3;7;2;Aut.;;;4,41;4;Very limited;4,72;4;Moderate autocracy;4,11;4;Very limited;4,14;4;Weak;8,0;2;Substantial;4,33;4;Flawed
Cambodia;7;105;4,12;103;3,77;7,8;8;8;10;5;3,3;4;2;3;4;2,5;2;3;2;3;2,0;2;2;3,3;3;3;n/a;4;96;4,46;4,0;4;4,8;5;3;6;5;6,0;6;6;4,5;3;6;3,0;3;3;6,0;6;3,0;3;3;113;3,50;7,1;8;9;5;9;6;5,9;3,73;3,3;4;3;3;3,0;3;4;2;3,6;4;3;4;3;4;5,0;4;5;6;;;3,82;3,77;-0,05;â;4,54;4,46;-0,07;â;3,67;3,50;-0,17;â;;;4;2;3;4;2;3;6,5;5;Aut.;;;4,12;4;Very limited;3,77;5;Hard-line autocracy;4,46;4;Very limited;3,50;4;Weak;7,1;2;Substantial;3,73;4;Flawed
Cameroon;3;97;4,43;94;4,08;6,3;7;5;8;5;3,5;3;2;5;4;4,0;4;4;4;4;2,0;2;2;4,7;5;5;n/a;4;87;4,79;3,0;3;5,0;4;5;5;6;7,0;8;6;4,5;4;5;4,5;4;5;6,0;6;3,5;3;4;114;3,32;6,5;6;7;6;8;6;5,9;3,60;3,0;3;3;3;3,3;3;4;3;3,4;4;4;3;3;3;4,7;5;5;4;;;4,02;4,08;0,07;â;4,57;4,79;0,21;â;3,25;3,32;0,06;â;;;3;2;5;4;4;4;6;2;Aut.;;;4,43;4;Very limited;4,08;4;Moderate autocracy;4,79;4;Very limited;3,32;4;Weak;6,5;2;Substantial;3,60;4;Flawed
Central African Republic;3;117;3,32;114;3,32;3,5;1;4;8;1;4,0;3;2;5;6;3,3;4;3;3;3;2,5;2;3;3,3;4;3;n/a;3;116;3,32;1,0;1;3,8;3;4;4;4;5,5;7;4;3,0;3;3;2,5;2;3;5,0;5;2,5;3;2;93;4,13;9,1;10;8;9;10;10;7,6;4,22;3,3;3;4;3;3,7;3;4;4;4,2;5;3;5;4;4;5,7;6;5;6;;;3,78;3,32;-0,47;â;3,61;3,32;-0,29;â;4,62;4,13;-0,49;â;;;3;2;5;6;4;3;1;4;Aut.;;;3,32;5;Failed;3,32;5;Hard-line autocracy;3,32;4;Very limited;4,13;4;Weak;9,1;1;Massive;4,22;4;Flawed
Chad;3;116;3,44;111;3,45;6,5;7;8;8;3;3,0;4;2;4;2;2,3;2;2;3;2;2,5;3;2;3,0;3;3;n/a;3;114;3,43;1,0;1;5,0;3;6;6;5;4,5;6;3;3,5;3;4;2,5;3;2;5,0;5;2,5;3;2;120;2,71;8,3;9;9;6;9;10;6,6;2,82;2,0;1;3;2;2,3;2;2;3;2,6;2;2;3;3;3;4,3;4;3;6;;;3,13;3,45;0,32;â;3,50;3,43;-0,07;â;2,63;2,71;0,08;â;;;4;2;4;2;2;2;5;5;Aut.;;;3,44;5;Failed;3,45;5;Hard-line autocracy;3,43;4;Very limited;2,71;5;Failed;8,3;2;Substantial;2,82;5;Poor
Chile;2;8;8,82;9;9,10;9,8;10;10;9;10;9,0;9;9;9;9;9,3;10;9;9;9;10,0;10;10;7,5;8;8;7;7;10;8,54;7,0;7;9,8;10;9;10;10;10,0;10;10;10,0;10;10;7,5;8;7;9,0;9;6,5;7;6;4;7,26;2,3;3;3;3;2;1;1,5;8,77;8,3;8;9;8;8,3;8;8;9;8,4;9;9;8;7;9;10,0;10;10;10;;;9,20;9,10;-0,10;â;8,54;8,54;0,00;â;7,22;7,26;0,04;â;;;9;9;9;9;10;9;10;0;Dem.;;;8,82;1;Highly advanced;9,10;1;Democracy in consolidation;8,54;1;Highly advanced;7,26;1;Very good;2,3;5;Negligible;8,77;1;Excellent
China;7;82;5,01;113;3,33;8,8;9;8;10;8;1,8;1;2;2;2;2,0;1;2;3;2;1,5;1;2;2,7;1;2;n/a;5;35;6,68;5,0;5;6,8;6;7;8;6;7,5;7;8;6,0;6;6;5,0;5;5;10,0;10;6,5;5;8;66;4,92;5,8;6;9;5;5;4;5,6;5,43;5,0;5;5;5;5,3;6;6;4;4,4;7;2;6;3;4;7,0;7;7;7;;;3,32;3,33;0,02;â;6,57;6,68;0,11;â;5,04;4,92;-0,11;â;;;1;2;2;2;1;2;8,5;6;Aut.;;;5,01;4;Very limited;3,33;5;Hard-line autocracy;6,68;3;Limited;4,92;3;Moderate;5,8;3;Moderate;5,43;3;Fair
Colombia;2;37;6,56;49;6,55;7,3;6;8;9;6;6,3;6;6;7;6;6,5;7;7;6;6;7,0;7;7;5,8;5;6;7;5;36;6,57;5,0;5;7,5;7;7;8;8;8,5;9;8;7,5;7;8;5,5;5;6;7,0;7;5,0;5;5;37;5,88;5,2;8;5;7;4;3;4,1;6,58;6,7;7;6;7;5,7;6;6;5;6,0;7;6;6;5;6;8,0;8;8;8;;;6,05;6,55;0,50;æ;6,50;6,57;0,07;â;5,40;5,88;0,48;â;;;6;6;7;6;7;6;6;0;Dem.;;;6,56;3;Limited;6,55;2;Defective democracy;6,57;3;Limited;5,88;2;Good;5,2;3;Moderate;6,58;2;Sound
Congo, DR;3;123;2,95;117;3,25;4,8;2;7;8;2;2,8;3;2;3;3;2,8;3;2;3;3;2,0;2;2;4,0;4;4;n/a;4;123;2,64;1,0;1;3,0;2;2;4;4;3,5;4;3;3,0;3;3;1,0;1;1;5,0;5;2,0;2;2;118;2,99;8,7;10;7;9;10;9;7,3;3,08;3,0;3;3;3;2,0;2;2;2;3,0;3;3;3;3;3;4,3;4;4;5;;;3,60;3,25;-0,35;â;2,57;2,64;0,07;â;3,12;2,99;-0,13;â;;;3;2;3;3;3;3;2;7;Aut.;;;2,95;5;Failed;3,25;5;Hard-line autocracy;2,64;5;Rudimentary;2,99;5;Failed;8,7;1;Massive;3,08;4;Flawed
Congo, Rep.;3;110;3,73;105;3,67;6,8;7;6;9;5;3,3;3;2;4;4;3,0;3;3;3;3;2,0;2;2;3,3;4;3;n/a;3;112;3,79;3,0;3;3,0;3;2;3;4;6,0;7;5;3,0;3;3;2,5;3;2;6,0;6;3,0;4;2;107;3,69;6,5;7;7;6;7;6;6,1;4,00;4,0;4;4;4;2,7;3;3;2;3,0;4;2;2;3;4;6,3;6;6;7;;;3,57;3,67;0,10;â;3,64;3,79;0,14;â;3,49;3,69;0,20;â;;;3;2;4;4;3;3;6;4;Aut.;;;3,73;5;Failed;3,67;5;Hard-line autocracy;3,79;4;Very limited;3,69;4;Weak;6,5;2;Substantial;4,00;4;Flawed
Costa Rica;2;10;8,74;6;9,30;10,0;10;10;10;10;9,8;10;10;9;10;9,3;10;9;8;10;9,0;8;10;8,5;7;9;9;9;13;8,18;7,0;7;8,8;9;8;10;8;9,0;9;9;9,0;9;9;8,0;8;8;8,0;8;7,5;8;7;12;6,82;2,6;4;2;1;4;3;1,4;8,17;7,3;9;6;7;7,3;7;7;8;9,0;10;10;8;8;n/a;9,0;9;10;8;;;9,40;9,30;-0,10;â;8,29;8,18;-0,11;â;6,98;6,82;-0,17;â;;;10;10;9;10;10;10;10;0;Dem.;;;8,74;1;Highly advanced;9,30;1;Democracy in consolidation;8,18;1;Highly advanced;6,82;2;Good;2,6;4;Minor;8,17;1;Excellent
Côte d'Ivoire;3;94;4,53;77;4,88;6,3;6;4;9;6;6,0;6;6;7;5;3,5;4;3;3;4;5,0;5;5;3,7;5;3;n/a;3;102;4,18;2,0;2;4,3;4;2;5;6;7,5;8;7;5,5;5;6;2,0;2;2;5,0;5;3,0;3;3;84;4,40;7,7;7;8;7;8;10;6,1;4,63;5,0;6;5;4;3,0;4;3;2;4,2;5;4;4;4;4;6,3;6;6;7;;;2,98;4,88;1,90;ã;3,64;4,18;0,54;æ;1,84;4,40;2,55;ã;;;6;6;7;5;4;4;6;0;Dem.;;;4,53;4;Very limited;4,88;3;Highly defective democracy;4,18;4;Very limited;4,40;3;Moderate;7,7;2;Substantial;4,63;4;Flawed
