"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 16;  Democracy Status 18;  Trend Democracy;;  Economy Status 16;  Economy Status 18;  Trend Economy;;  Governance Index 16;  Governance Index 18;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Benin;3;41;6,43;21;7,85;8,3;9;9;9;6;8,8;9;9;9;8;6,5;8;6;4;8;9,0;8;10;6,8;4;8;9;6;79;5,00;2,0;2;5,5;4;5;7;6;7,5;8;7;6,0;6;6;3,5;3;4;6,0;6;4,5;5;4;35;5,86;5,4;8;3;2;9;7;3,6;6,52;6,0;6;5;7;4,7;5;5;4;7,8;8;9;8;6;n/a;7,7;7;8;8;;;7,55;7,85;0,30;�;5,00;5,00;0,00;�;5,42;5,86;0,44;�;;;9;9;9;8;8;8;7,5;0;Dem.;;;6,43;3;Limited;7,85;2;Defective democracy;5,00;3;Limited;5,86;2;Good;5,4;3;Moderate;6,52;2;Sound
Bhutan;7;45;6,25;40;6,57;7,3;8;7;7;7;7,0;8;7;6;7;7,3;7;7;8;7;7,0;7;7;4,3;5;3;n/a;5;55;5,93;5,0;5;4,5;4;3;6;5;6,0;5;7;7,5;8;7;4,5;4;5;7,0;7;7,0;8;6;16;6,50;5,8;6;9;3;7;6;3,8;7,17;6,7;6;7;7;7,7;7;7;9;6,0;7;7;7;5;4;8,3;9;9;7;;;6,50;6,57;0,07;�;5,54;5,93;0,39;�;6,58;6,50;-0,08;�;;;8;7;6;7;7;7;7,5;0;Dem.;;;6,25;3;Limited;6,57;2;Defective democracy;5,93;3;Limited;6,50;2;Good;5,8;3;Moderate;7,17;2;Sound
Bolivia;2;39;6,46;31;7,20;8,5;8;9;10;7;8,3;9;9;7;8;5,8;7;5;5;6;7,0;7;7;6,5;6;7;7;6;60;5,71;4,0;4;6,0;4;6;7;7;8,0;8;8;5,0;5;5;5,0;5;5;7,0;7;5,0;5;5;41;5,66;5,3;7;6;5;7;3;3,9;6,32;7,0;8;7;6;4,7;4;6;4;6,6;6;7;6;7;7;7,0;7;6;8;;;7,30;7,20;-0,10;�;5,86;5,71;-0,14;�;5,63;5,66;0,03;�;;;9;9;7;8;7;6;7,5;0;Dem.;;;6,46;3;Limited;7,20;2;Defective democracy;5,71;3;Limited;5,66;2;Good;5,3;3;Moderate;6,32;2;Sound
Bosnia and Herzegovina;1;43;6,28;57;6,10;7,0;8;4;8;8;7,0;7;7;8;6;6,5;8;5;6;7;4,0;4;4;6,0;6;6;6;6;36;6,46;6,0;6;7,8;6;8;9;8;8,0;9;7;7,5;8;7;6,0;7;5;5,0;5;5,0;5;5;89;4,09;4,5;6;5;5;5;2;4,3;4,65;4,3;4;5;4;4,0;4;4;4;4,6;7;5;3;5;3;5,7;5;5;7;;;6,30;6,10;-0,20;�;6,46;6,46;0,00;�;4,10;4,09;-0,02;�;;;7;7;8;6;8;7;8;0;Dem.;;;6,28;3;Limited;6,10;2;Defective democracy;6,46;3;Limited;4,09;4;Weak;4,5;3;Moderate;4,65;4;Flawed
Botswana;5;16;7,89;16;8,20;9,0;10;8;10;8;8,3;8;10;8;7;7,8;7;9;7;8;9,0;9;9;7,0;7;6;8;7;20;7,57;5,0;5;8,0;8;7;8;9;10,0;10;10;8,5;9;8;7,0;7;7;8,0;8;6,5;7;6;6;7,09;3,8;5;6;2;4;3;2,6;8,23;7,7;8;8;7;8,0;7;9;8;8,3;9;9;8;7;n/a;9,0;9;9;9;;;8,25;8,20;-0,05;�;7,43;7,57;0,14;�;7,04;7,09;0,05;�;;;8;10;8;7;7;8;9;0;Dem.;;;7,89;2;Advanced;8,20;1;Democracy in consolidation;7,57;2;Advanced;7,09;1;Very good;3,8;4;Minor;8,23;1;Excellent
Brazil;2;22;7,29;23;7,65;8,3;7;9;9;8;8,8;9;9;9;8;7,8;9;7;8;7;7,5;7;8;6,0;5;8;5;6;27;6,93;6,0;6;8,0;7;9;7;9;7,5;8;7;8,5;9;8;7,0;7;7;5,0;5;6,5;6;7;30;5,95;3,5;5;3;5;3;2;3,;6,95;6,3;6;7;6;6,0;6;6;6;6,8;7;8;5;7;7;8,7;9;8;9;;;8,05;7,65;-0,40;�;7,14;6,93;-0,21;�;6,76;5,95;-0,81;�;;;9;9;9;8;9;7;7,5;0;Dem.;;;7,29;2;Advanced;7,65;2;Defective democracy;6,93;3;Limited;5,95;2;Good;3,5;4;Minor;6,95;2;Sound
Bulgaria;1;17;7,80;18;8,10;9,5;10;9;10;9;8,3;8;8;10;7;7,8;8;8;7;8;8,0;7;9;7,0;6;8;7;7;21;7,50;7,0;7;8,5;8;8;10;8;9,0;9;9;8,5;8;9;7,0;7;7;6,0;6;6,5;7;6;27;5,98;3,2;4;4;4;4;1;2,4;7,03;6,0;6;6;6;6,0;6;6;6;7,8;9;8;7;8;7;8,3;8;8;9;;;8,15;8,10;-0,05;�;7,68;7,50;-0,18;�;6,02;5,98;-0,04;�;;;8;8;10;7;8;8;9,5;0;Dem.;;;7,80;2;Advanced;8,10;1;Democracy in consolidation;7,50;2;Advanced;5,98;2;Good;3,2;4;Minor;7,03;2;Sound
Burkina Faso;3;67;5,45;49;6,40;7,5;6;10;8;6;7,0;7;7;7;7;4,8;4;5;4;6;6,0;6;6;6,8;5;7;8;7;93;4,50;1,0;1;5,5;4;6;6;6;7,5;8;7;5,5;5;6;3,0;3;3;6,0;6;3,0;4;2;54;5,20;7,1;9;4;6;9;10;4,9;5,55;5,0;5;5;5;4,0;3;5;4;5,2;6;5;5;6;4;8,0;8;8;8;;;4,73;6,40;1,67;�;4,68;4,50;-0,18;�;4,92;5,20;0,27;�;;;7;7;7;7;4;6;6;0;Dem.;;;5,45;4;Very limited;6,40;2;Defective democracy;4,50;4;Very limited;5,20;3;Moderate;7,1;2;Substantial;5,55;3;Fair
Burundi;5;104;3,97;93;3,80;7,0;6;8;8;6;3,0;3;3;3;3;3,0;3;3;3;3;2,0;2;2;4,0;4;4;n/a;4;101;4,14;2,0;2;4,0;4;4;5;3;6,0;6;6;5,5;5;6;4,0;3;5;4,0;4;3,5;4;3;112;3,29;8,3;10;8;8;10;8;6,;3,42;4,0;4;4;4;3,0;3;4;2;3,0;4;3;2;2;4;3,7;5;3;3;;;4,62;3,80;-0,82;�;4,11;4,14;0,04;�;4,07;3,29;-0,78;�;;;3;3;3;3;3;3;6;6;Aut.;;;3,97;5;Failed;3,80;5;Hard-line autocracy;4,14;4;Very limited;3,29;4;Weak;8,3;2;Substantial;3,42;4;Flawed
Cambodia;7;103;4,00;103;3,57;7,8;8;8;10;5;2,8;3;2;3;3;2,0;2;2;2;2;2,0;2;2;3,3;3;3;n/a;4;96;4,43;4,0;4;4,5;4;3;6;5;6,0;6;6;4,0;3;5;3,0;3;3;7,0;7;2,5;2;3;113;3,23;7,2;8;9;5;8;7;6,1;3,45;3,3;4;3;3;2,7;3;4;1;2,8;3;2;3;3;3;5,0;3;5;7;;;3,73;3,57;-0,17;�;4,50;4,43;-0,07;�;3,42;3,23;-0,18;�;;;3;2;3;3;2;2;6,5;6;Aut.;;;4,00;4;Very limited;3,57;5;Hard-line autocracy;4,43;4;Very limited;3,23;4;Weak;7,2;2;Substantial;3,45;4;Flawed
Cameroon;3;98;4,23;90;3,92;6,3;7;6;7;5;3,3;3;2;5;3;3,8;3;4;4;4;2,0;2;2;4,3;4;5;n/a;4;91;4,54;3,0;3;4,8;4;4;5;6;5,5;7;4;4,0;4;4;4,5;4;5;6,0;6;4,0;4;4;109;3,46;6,7;6;7;7;8;6;6,;3,73;3,3;3;4;3;3,0;3;3;3;3,6;4;3;3;4;4;5,0;4;6;5;;;3,80;3,92;0,12;�;4,71;4,54;-0,18;�;3,63;3,46;-0,17;�;;;3;2;5;3;3;4;6;4;Aut.;;;4,23;4;Very limited;3,92;5;Hard-line autocracy;4,54;4;Very limited;3,46;4;Weak;6,7;2;Substantial;3,73;4;Flawed
Central African Republic;3;117;3,28;100;3,60;3,5;2;3;8;1;5,3;6;3;6;6;3,8;5;4;3;3;2,5;2;3;3,0;4;3;n/a;2;117;2,96;1,0;1;3,3;2;4;3;4;5,5;7;4;3,0;3;3;2,5;2;3;4,0;4;1,5;2;1;88;4,10;8,7;10;8;8;10;9;7,4;4,22;3,0;3;3;3;3,7;3;4;4;4,2;4;3;4;5;5;6,0;6;6;6;;;3,20;3,60;0,40;�;2,57;2,96;0,39;�;4,28;4,10;-0,18;�;;;6;3;6;6;5;3;1,5;3;Aut.;;;3,28;5;Failed;3,60;5;Hard-line autocracy;2,96;5;Rudimentary;4,10;4;Weak;8,7;1;Massive;4,22;4;Flawed
Chad;3;115;3,31;106;3,45;6,5;7;8;8;3;3,0;3;2;4;3;2,3;2;2;3;2;2,5;3;2;3,0;3;3;n/a;3;115;3,18;1,0;1;4,3;3;4;5;5;4,5;6;3;3,5;3;4;2,5;3;2;4,0;4;2,5;3;2;116;2,84;8,3;9;9;6;9;10;6,6;2,95;2,0;1;3;2;2,3;3;2;2;2,8;2;2;3;3;4;4,7;4;4;6;;;3,50;3,45;-0,05;�;3,50;3,18;-0,32;�;2,79;2,84;0,05;�;;;3;2;4;3;2;2;5;5;Aut.;;;3,31;5;Failed;3,45;5;Hard-line autocracy;3,18;4;Very limited;2,84;5;Failed;8,3;2;Substantial;2,95;5;Poor
Chile;2;7;8,87;7;9,20;9,8;9;10;10;10;9,5;9;9;10;10;9,5;10;9;10;9;10,0;10;10;7,3;7;8;7;7;11;8,54;7,0;7;9,8;10;9;10;10;10,0;10;10;10,0;10;10;8,0;9;7;8,0;8;7,0;8;6;3;7,33;2,1;3;3;3;1;1;1,4;8,90;8,3;8;8;9;8,7;9;8;9;8,6;8;10;8;8;9;10,0;10;10;10;;;9,15;9,20;0,05;�;8,39;8,54;0,14;�;7,51;7,33;-0,18;�;;;9;9;10;10;10;9;9,5;0;Dem.;;;8,87;1;Highly advanced;9,20;1;Democracy in consolidation;8,54;1;Highly advanced;7,33;1;Very good;2,1;5;Negligible;8,90;1;Excellent
China;7;81;5,02;109;3,28;8,8;9;8;10;8;1,8;1;2;2;2;2,3;1;2;4;2;1,0;1;1;2,7;1;2;n/a;5;30;6,75;5,0;5;6,8;6;7;8;6;8,0;8;8;6,0;6;6;5,5;5;6;9,0;9;7,0;6;8;71;4,79;5,4;6;9;5;4;3;5,5;5,33;5,0;5;5;5;5,7;6;6;5;4,0;7;1;5;3;4;6,7;8;7;5;;;3,28;3,28;0,00;�;6,61;6,75;0,14;�;4,73;4,79;0,06;�;;;1;2;2;2;1;2;8,5;6;Aut.;;;5,02;4;Very limited;3,28;5;Hard-line autocracy;6,75;3;Limited;4,79;3;Moderate;5,4;3;Moderate;5,33;3;Fair
Colombia;2;34;6,59;38;6,75;7,3;7;8;8;6;7,0;7;7;7;7;6,5;7;7;6;6;7,5;7;8;5,5;5;6;6;5;38;6,43;5,0;5;7,5;7;7;8;8;8,0;8;8;7,5;7;8;6,0;6;6;6,0;6;5,0;5;5;20;6,14;4,9;7;5;6;4;3;4,1;6,93;7,7;9;7;7;5,7;6;7;4;6,4;7;7;6;6;6;8,0;8;8;8;;;6,65;6,75;0,10;�;6,64;6,43;-0,21;�;6,13;6,14;0,01;�;;;7;7;7;7;7;6;6,5;0;Dem.;;;6,59;3;Limited;6,75;2;Defective democracy;6,43;3;Limited;6,14;2;Good;4,9;3;Moderate;6,93;2;Sound
Congo, DR;3;120;3,13;105;3,47;5,5;3;9;8;2;2,8;2;2;3;4;2,8;3;2;3;3;2,0;2;2;4,3;4;4;n/a;5;121;2,79;1,0;1;3,0;2;2;4;4;4,0;5;3;3,5;3;4;1,0;1;1;5,0;5;2,0;2;2;119;2,47;8,0;10;6;8;10;7;6,9;2,58;2,0;2;2;2;2,0;2;2;2;3,0;3;2;4;3;3;3,3;3;2;5;;;3,40;3,47;0,07;�;2,79;2,79;0,00;�;2,76;2,47;-0,29;�;;;2;2;3;4;3;3;2,5;6;Aut.;;;3,13;5;Failed;3,47;5;Hard-line autocracy;2,79;5;Rudimentary;2,47;5;Failed;8,0;2;Substantial;2,58;5;Poor
Congo, Rep.;3;111;3,38;110;3,25;6,3;6;6;9;4;2,5;2;2;3;3;2,5;2;3;3;2;2,0;2;2;3,0;3;3;n/a;3;111;3,50;3,0;3;3,0;3;2;3;4;5,5;7;4;3,0;3;3;2,5;3;2;5,0;5;2,5;3;2;114;3,00;6,9;7;7;8;7;6;6,6;3,22;3,3;4;3;3;2,7;3;3;2;2,2;3;2;2;2;2;4,7;4;4;6;;;3,45;3,25;-0,20;�;3,71;3,50;-0,21;�;3,43;3,00;-0,43;�;;;2;2;3;3;2;2;5;6;Aut.;;;3,38;5;Failed;3,25;5;Hard-line autocracy;3,50;4;Very limited;3,00;4;Weak;6,9;2;Substantial;3,22;4;Flawed
Costa Rica;2;12;8,49;8;9,05;9,3;9;10;9;9;10,0;10;10;10;10;9,5;10;10;9;9;8,5;7;10;8,0;7;9;8;8;17;7,93;6,0;6;8,5;8;8;10;8;8,5;10;7;9,0;9;9;8,0;8;8;8,0;8;7,5;8;7;9;6,85;2,1;4;2;1;2;2;1,6;8,31;7,3;9;6;7;7,3;7;7;8;9,3;10;10;9;8;n/a;9,3;9;10;9;;;9,20;9,05;-0,15;�;7,79;7,93;0,14;�;6,93;6,85;-0,08;�;;;10;10;10;10;10;9;9;0;Dem.;;;8,49;2;Advanced;9,05;1;Democracy in consolidation;7,93;2;Advanced;6,85;2;Good;2,1;5;Negligible;8,31;1;Excellent
C�te d'Ivoire;3;69;5,38;64;5,80;7,3;8;6;9;6;7,0;7;6;8;7;3,8;4;3;3;5;6,0;6;6;5,0;6;4;6;4;80;4,96;2,0;2;5,8;6;4;6;7;8,0;8;8;6,5;6;7;3,5;4;3;6,0;6;3,0;3;3;46;5,54;6,9;7;8;5;8;8;5,5;5,95;6,0;5;7;6;5,0;6;5;4;4,8;6;5;4;4;5;8,0;8;8;8;;;5,50;5,80;0,30;�;4,68;4,96;0,29;�;5,13;5,54;0,41;�;;;7;6;8;7;4;5;7;0;Dem.;;;5,38;4;Very limited;5,80;3;Highly defective democracy;4,96;4;Very limited;5,54;3;Moderate;6,9;2;Substantial;5,95;3;Fair
