year;country_id;free_and_fair_elections;effective_power_to_govern;separation_of_powers;independent_judiciary;prosecution_of_office_abuse;performance_of_democratic_institutions;commitment_to_democratic_institutions;level_of_socioeconomic_development;socioeconomic_barriers;monetary_stability;fiscal_stability;welfare_regime;social_safety_nets;equal_opportunity;economic_performance;output_strength;sustainability;environmental_policy;education_/_r&d_policy;level_of_difficulty;structural_constraints;conflict_intensity;gni_p.c._atlas_method_rescaled;un_educ._index_rescaled;bti_stateness_&_rule_of_law;steering_capability;prioritization;implementation;policy_learning;resource_efficiency;efficient_use_of_assets;policy_coordination;anti-corruption_policy;consensus-building;consensus_on_goals;anti-democratic_actors;cleavage_/_conflict_management;civil_society_participation;reconciliation;international_cooperation;effective_use_of_support;credibility;regional_cooperation
2014;2;6.0;7.0;4.0;4.0;4.0;5.0;8.0;5.0;5.0;9.0;7.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;4.5;6.0;3.0;5.0;2.0;4.3;5.7;6.0;6.0;5.0;4.7;4.0;6.0;4.0;6.2;8.0;7.0;5.0;6.0;5.0;7.0;6.0;6.0;9.0
2020;2;7.0;7.0;5.0;5.0;4.0;6.0;8.0;6.0;6.0;8.0;7.0;7.0;7.0;7.0;6.0;6.0;4.5;5.0;4.0;4.5;6.0;3.0;5.0;2.0;3.8;7.0;8.0;7.0;6.0;5.7;6.0;6.0;5.0;6.8;8.0;7.0;6.0;7.0;6.0;7.7;7.0;7.0;9.0
2016;2;7.0;7.0;4.0;4.0;4.0;6.0;8.0;5.0;5.0;8.0;7.0;6.5;7.0;6.0;6.0;6.0;5.0;5.0;5.0;4.8;6.0;3.0;5.0;4.0;4.0;6.7;7.0;6.0;7.0;5.3;4.0;7.0;5.0;6.4;8.0;7.0;6.0;6.0;5.0;7.7;7.0;7.0;9.0
2022;2;7.0;7.0;5.0;5.0;4.0;5.0;8.0;5.0;5.0;8.0;6.0;6.5;6.0;7.0;6.0;6.0;5.0;5.0;5.0;4.5;6.0;4.0;5.0;2.0;3.8;7.0;7.0;7.0;7.0;6.3;6.0;7.0;6.0;7.0;9.0;7.0;6.0;7.0;6.0;8.3;7.0;8.0;10.0
2010;3;4.0;2.0;4.0;4.0;4.0;2.0;2.0;5.0;5.0;6.0;7.0;5.5;6.0;5.0;7.0;7.0;4.0;4.0;4.0;5.9;6.0;7.0;6.0;5.0;5.4;4.0;4.0;4.0;4.0;3.7;3.0;5.0;3.0;4.0;4.0;3.0;3.0;4.0;6.0;5.7;5.0;6.0;6.0
2018;3;5.0;2.0;4.0;4.0;4.0;3.0;2.0;5.0;5.0;6.0;7.0;5.5;6.0;5.0;6.0;6.0;4.5;5.0;4.0;5.2;7.0;6.0;5.0;3.0;5.1;4.7;5.0;5.0;4.0;4.7;4.0;5.0;5.0;5.4;5.0;4.0;6.0;5.0;7.0;5.7;5.0;6.0;6.0
2012;3;4.0;2.0;4.0;4.0;4.0;2.0;2.0;5.0;5.0;6.0;7.0;5.5;6.0;5.0;7.0;7.0;4.5;5.0;4.0;5.7;7.0;7.0;5.0;4.0;5.4;3.7;4.0;4.0;3.0;4.3;3.0;5.0;5.0;4.4;4.0;3.0;4.0;4.0;7.0;5.3;5.0;5.0;6.0
2014;3;6.0;2.0;4.0;4.0;4.0;3.0;2.0;5.0;5.0;6.0;8.0;5.5;6.0;5.0;7.0;7.0;4.5;5.0;4.0;5.4;7.0;7.0;5.0;3.0;5.3;4.7;5.0;5.0;4.0;4.7;4.0;5.0;5.0;5.4;5.0;4.0;6.0;5.0;7.0;5.7;5.0;6.0;6.0
2020;3;5.0;2.0;4.0;4.0;4.0;3.0;2.0;5.0;5.0;6.0;8.0;5.5;6.0;5.0;6.0;6.0;5.0;6.0;4.0;5.2;7.0;6.0;5.0;3.0;5.1;4.3;4.0;5.0;4.0;4.7;4.0;5.0;5.0;5.4;5.0;4.0;6.0;5.0;7.0;5.3;5.0;5.0;6.0
2016;3;5.0;2.0;4.0;4.0;4.0;3.0;3.0;5.0;5.0;6.0;8.0;6.0;7.0;5.0;7.0;7.0;4.0;4.0;4.0;5.5;7.0;7.0;5.0;4.0;5.3;4.7;5.0;5.0;4.0;4.7;4.0;5.0;5.0;5.0;5.0;3.0;5.0;5.0;7.0;5.7;5.0;6.0;6.0
2022;3;4.0;2.0;4.0;4.0;4.0;3.0;2.0;5.0;5.0;6.0;7.0;6.0;7.0;5.0;6.0;6.0;5.0;6.0;4.0;5.2;7.0;5.0;6.0;3.0;5.0;5.0;5.0;5.0;5.0;4.7;4.0;5.0;5.0;5.6;5.0;5.0;6.0;5.0;7.0;5.7;5.0;6.0;6.0
2010;6;6.0;3.0;4.0;4.0;4.0;3.0;3.0;2.0;2.0;6.0;6.0;3.5;3.0;4.0;7.0;7.0;3.0;3.0;3.0;6.7;7.0;4.0;7.0;9.0;5.0;4.3;4.0;5.0;4.0;3.3;3.0;5.0;2.0;4.4;5.0;5.0;5.0;4.0;3.0;5.3;5.0;5.0;6.0
2018;6;3.0;2.0;3.0;3.0;2.0;3.0;2.0;2.0;2.0;7.0;5.0;3.0;2.0;4.0;4.0;4.0;3.0;3.0;3.0;5.6;6.0;4.0;5.0;6.0;5.8;3.7;4.0;4.0;3.0;3.3;3.0;5.0;2.0;3.6;6.0;3.0;6.0;2.0;1.0;5.3;5.0;6.0;5.0
2012;6;6.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;7.0;7.0;5.0;4.0;6.0;7.0;7.0;4.0;4.0;4.0;6.5;7.0;4.0;6.0;10.0;5.3;4.0;4.0;4.0;4.0;3.7;4.0;5.0;2.0;4.8;5.0;5.0;6.0;5.0;3.0;5.7;5.0;5.0;7.0
2014;6;4.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;7.0;7.0;3.0;2.0;4.0;7.0;7.0;3.5;3.0;4.0;6.3;6.0;4.0;6.0;8.0;5.6;5.0;5.0;5.0;5.0;3.7;4.0;5.0;2.0;3.6;5.0;3.0;5.0;3.0;2.0;5.0;4.0;5.0;6.0
2020;6;4.0;2.0;3.0;4.0;4.0;3.0;3.0;2.0;2.0;6.0;5.0;3.5;3.0;4.0;4.0;4.0;3.0;3.0;3.0;5.9;6.0;4.0;6.0;7.0;5.5;4.0;4.0;4.0;4.0;3.7;3.0;5.0;3.0;4.6;6.0;4.0;6.0;5.0;2.0;6.3;6.0;6.0;7.0
2016;6;3.0;2.0;3.0;3.0;2.0;3.0;3.0;2.0;2.0;7.0;6.0;3.5;3.0;4.0;6.0;6.0;3.0;3.0;3.0;5.8;6.0;4.0;5.0;7.0;5.9;3.3;4.0;3.0;3.0;3.0;3.0;4.0;2.0;3.6;5.0;3.0;6.0;2.0;2.0;6.0;6.0;6.0;6.0
2022;6;4.0;2.0;3.0;4.0;4.0;3.0;3.0;2.0;2.0;6.0;5.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;6.3;7.0;4.0;7.0;7.0;5.5;4.3;5.0;4.0;4.0;4.0;3.0;5.0;4.0;4.8;6.0;4.0;6.0;5.0;3.0;6.3;6.0;6.0;7.0
2010;10;10.0;10.0;5.0;6.0;5.0;7.0;9.0;7.0;7.0;6.0;6.0;6.5;6.0;7.0;8.0;8.0;5.5;5.0;6.0;3.3;4.0;3.0;4.0;1.0;3.6;5.7;6.0;6.0;5.0;5.7;6.0;6.0;5.0;7.8;9.0;9.0;7.0;6.0;8.0;7.0;7.0;6.0;8.0
2018;10;9.0;8.0;7.0;7.0;7.0;7.0;8.0;7.0;7.0;7.0;7.0;6.5;6.0;7.0;5.0;5.0;6.0;6.0;6.0;3.0;4.0;4.0;2.0;1.0;3.0;7.0;7.0;7.0;7.0;6.3;7.0;6.0;6.0;7.4;8.0;9.0;7.0;6.0;7.0;7.7;8.0;7.0;8.0
2012;10;9.0;8.0;5.0;6.0;5.0;6.0;8.0;7.0;7.0;5.0;6.0;6.5;6.0;7.0;7.0;7.0;5.5;5.0;6.0;3.4;4.0;4.0;4.0;1.0;3.6;5.7;6.0;6.0;5.0;5.3;5.0;6.0;5.0;7.4;8.0;8.0;7.0;6.0;8.0;6.3;6.0;5.0;8.0
2014;10;9.0;8.0;5.0;6.0;5.0;6.0;8.0;7.0;7.0;4.0;6.0;6.5;6.0;7.0;6.0;6.0;5.5;5.0;6.0;3.1;4.0;4.0;2.0;1.0;3.6;5.7;6.0;6.0;5.0;5.0;5.0;5.0;5.0;7.0;8.0;8.0;6.0;6.0;7.0;6.0;6.0;4.0;8.0
2020;10;9.0;8.0;8.0;7.0;8.0;8.0;8.0;7.0;7.0;7.0;7.0;6.5;6.0;7.0;5.0;5.0;5.5;5.0;6.0;2.8;4.0;4.0;1.0;1.0;2.8;7.0;7.0;7.0;7.0;6.7;6.0;7.0;7.0;7.4;8.0;9.0;7.0;6.0;7.0;8.0;8.0;8.0;8.0
2016;10;9.0;8.0;5.0;6.0;5.0;6.0;8.0;7.0;7.0;4.0;5.0;6.5;6.0;7.0;5.0;5.0;5.5;5.0;6.0;2.9;4.0;4.0;1.0;1.0;3.6;5.0;6.0;5.0;4.0;4.7;5.0;5.0;4.0;7.0;8.0;8.0;6.0;6.0;7.0;6.0;6.0;4.0;8.0
2022;10;9.0;8.0;6.0;6.0;7.0;7.0;7.0;6.0;6.0;5.0;5.0;6.5;6.0;7.0;4.0;4.0;5.5;5.0;6.0;3.2;5.0;4.0;2.0;1.0;3.3;6.0;6.0;6.0;6.0;5.7;6.0;6.0;5.0;7.0;7.0;9.0;6.0;6.0;7.0;7.3;7.0;7.0;8.0
2010;11;5.0;2.0;4.0;4.0;4.0;2.0;2.0;4.0;4.0;8.0;8.0;5.5;6.0;5.0;8.0;8.0;5.5;6.0;5.0;4.4;6.0;3.0;7.0;2.0;4.4;4.7;5.0;5.0;4.0;4.7;6.0;5.0;3.0;4.0;6.0;6.0;2.0;2.0;4.0;6.7;7.0;7.0;6.0
2018;11;4.0;3.0;4.0;4.0;5.0;3.0;3.0;4.0;4.0;8.0;7.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;4.4;6.0;3.0;6.0;2.0;4.5;4.7;4.0;5.0;5.0;4.3;5.0;5.0;3.0;4.4;6.0;3.0;5.0;4.0;4.0;6.0;6.0;6.0;6.0
2012;11;5.0;2.0;4.0;4.0;5.0;3.0;3.0;4.0;4.0;8.0;6.0;5.5;6.0;5.0;5.0;5.0;5.5;6.0;5.0;4.4;6.0;3.0;6.0;2.0;4.4;4.7;5.0;5.0;4.0;5.3;6.0;5.0;5.0;4.4;6.0;6.0;3.0;3.0;4.0;7.0;7.0;7.0;7.0
2014;11;5.0;2.0;4.0;4.0;5.0;3.0;3.0;4.0;4.0;8.0;6.0;5.5;6.0;5.0;6.0;6.0;5.5;6.0;5.0;4.2;6.0;3.0;6.0;1.0;4.4;4.7;5.0;5.0;4.0;5.3;6.0;5.0;5.0;5.2;6.0;6.0;5.0;5.0;4.0;7.0;7.0;7.0;7.0
2020;11;9.0;6.0;6.0;5.0;6.0;6.0;7.0;5.0;5.0;9.0;7.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;3.9;6.0;3.0;5.0;2.0;3.6;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;6.8;8.0;6.0;6.0;7.0;7.0;6.7;7.0;7.0;6.0
2016;11;5.0;3.0;4.0;4.0;4.0;3.0;3.0;4.0;4.0;8.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;4.4;6.0;3.0;6.0;2.0;4.5;4.3;4.0;5.0;4.0;4.3;5.0;5.0;3.0;5.0;6.0;6.0;5.0;4.0;4.0;6.0;6.0;6.0;6.0
2022;11;9.0;5.0;6.0;5.0;6.0;6.0;6.0;5.0;5.0;8.0;7.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;4.1;6.0;4.0;5.0;2.0;3.9;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;7.0;5.0;6.0;7.0;5.0;6.7;7.0;7.0;6.0
2010;15;4.0;2.0;4.0;4.0;4.0;2.0;2.0;5.0;5.0;6.0;7.0;5.5;5.0;6.0;7.0;7.0;5.0;5.0;5.0;5.3;6.0;4.0;7.0;2.0;5.5;4.0;4.0;4.0;4.0;4.0;4.0;5.0;3.0;4.2;6.0;4.0;5.0;3.0;3.0;6.0;6.0;6.0;6.0
2018;15;2.0;2.0;2.0;3.0;4.0;2.0;2.0;4.0;4.0;6.0;6.0;5.5;5.0;6.0;5.0;5.0;4.5;5.0;4.0;5.0;6.0;4.0;4.0;2.0;5.9;4.7;5.0;5.0;4.0;3.3;4.0;4.0;2.0;3.4;4.0;2.0;5.0;2.0;4.0;6.0;5.0;6.0;7.0
2012;15;3.0;2.0;4.0;4.0;4.0;2.0;2.0;5.0;5.0;7.0;6.0;6.0;6.0;6.0;7.0;7.0;5.0;6.0;4.0;4.9;6.0;4.0;5.0;2.0;5.3;4.3;5.0;4.0;4.0;3.7;4.0;4.0;3.0;3.8;6.0;3.0;4.0;3.0;3.0;6.3;6.0;7.0;6.0
2014;15;3.0;2.0;3.0;4.0;4.0;2.0;2.0;5.0;5.0;7.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;6.0;4.0;5.1;6.0;4.0;5.0;3.0;5.4;4.3;5.0;4.0;4.0;3.3;4.0;3.0;3.0;3.8;6.0;3.0;4.0;3.0;3.0;6.3;6.0;7.0;6.0
2020;15;2.0;2.0;2.0;3.0;4.0;2.0;2.0;5.0;5.0;7.0;7.0;5.5;5.0;6.0;6.0;6.0;4.0;4.0;4.0;5.1;6.0;4.0;5.0;2.0;5.9;5.0;5.0;5.0;5.0;3.7;4.0;4.0;3.0;3.6;4.0;3.0;5.0;2.0;4.0;5.7;5.0;5.0;7.0
2016;15;3.0;2.0;2.0;3.0;4.0;2.0;2.0;5.0;5.0;7.0;7.0;6.0;6.0;6.0;6.0;6.0;4.5;5.0;4.0;5.2;6.0;4.0;4.0;3.0;6.0;4.3;5.0;5.0;3.0;3.3;4.0;4.0;2.0;3.2;4.0;2.0;4.0;2.0;4.0;6.0;5.0;6.0;7.0
2022;15;2.0;2.0;2.0;3.0;4.0;2.0;2.0;5.0;5.0;7.0;7.0;5.5;5.0;6.0;6.0;6.0;5.0;5.0;5.0;4.9;5.0;4.0;5.0;2.0;5.5;5.0;5.0;5.0;5.0;4.0;4.0;5.0;3.0;3.6;4.0;3.0;5.0;2.0;4.0;5.3;6.0;5.0;5.0
2010;17;3.0;1.0;4.0;4.0;4.0;2.0;2.0;6.0;6.0;9.0;10.0;7.5;9.0;6.0;9.0;9.0;6.5;5.0;8.0;3.5;3.0;5.0;1.0;2.0;4.9;4.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;4.4;6.0;4.0;3.0;5.0;4.0;7.0;6.0;7.0;8.0
2018;17;2.0;1.0;2.0;2.0;4.0;2.0;2.0;5.0;5.0;8.0;5.0;4.5;7.0;2.0;6.0;6.0;5.5;4.0;7.0;4.3;3.0;8.0;1.0;2.0;6.5;3.3;4.0;3.0;3.0;4.0;4.0;4.0;4.0;2.8;5.0;2.0;1.0;2.0;4.0;6.0;5.0;5.0;8.0
2012;17;3.0;1.0;4.0;4.0;4.0;2.0;2.0;6.0;6.0;9.0;10.0;6.5;8.0;5.0;8.0;8.0;6.5;5.0;8.0;3.6;3.0;6.0;1.0;2.0;4.9;4.0;5.0;4.0;3.0;4.7;4.0;5.0;5.0;3.8;6.0;3.0;3.0;4.0;3.0;7.0;6.0;7.0;8.0
2014;17;3.0;1.0;4.0;4.0;4.0;1.0;1.0;6.0;6.0;8.0;8.0;6.0;8.0;4.0;8.0;8.0;6.0;5.0;7.0;4.3;4.0;8.0;1.0;2.0;5.6;3.7;4.0;4.0;3.0;4.7;4.0;5.0;5.0;3.4;5.0;3.0;2.0;4.0;3.0;6.3;5.0;6.0;8.0
2020;17;2.0;1.0;2.0;2.0;4.0;2.0;1.0;5.0;5.0;8.0;5.0;4.5;7.0;2.0;7.0;7.0;6.0;5.0;7.0;4.1;4.0;7.0;1.0;1.0;6.5;3.0;4.0;3.0;2.0;4.0;4.0;4.0;4.0;2.6;5.0;2.0;1.0;2.0;3.0;5.3;5.0;5.0;6.0
2016;17;2.0;1.0;3.0;3.0;4.0;2.0;2.0;5.0;5.0;8.0;6.0;5.0;7.0;3.0;8.0;8.0;5.5;4.0;7.0;4.2;3.0;7.0;1.0;2.0;6.0;3.7;4.0;4.0;3.0;4.7;4.0;5.0;5.0;3.4;5.0;3.0;1.0;3.0;5.0;6.0;5.0;5.0;8.0
2022;17;2.0;1.0;2.0;2.0;4.0;2.0;1.0;5.0;5.0;7.0;4.0;4.5;6.0;3.0;6.0;6.0;6.0;5.0;7.0;4.2;4.0;7.0;1.0;1.0;6.4;4.3;4.0;6.0;3.0;4.3;5.0;4.0;4.0;2.8;5.0;3.0;1.0;2.0;3.0;5.7;5.0;5.0;7.0
2010;18;8.0;5.0;5.0;5.0;5.0;5.0;6.0;4.0;4.0;7.0;6.0;3.5;3.0;4.0;7.0;7.0;4.5;5.0;4.0;7.0;7.0;6.0;9.0;9.0;5.0;4.3;4.0;5.0;4.0;4.0;3.0;5.0;4.0;5.2;6.0;7.0;4.0;6.0;3.0;7.3;7.0;8.0;7.0
2018;18;5.0;3.0;4.0;4.0;3.0;3.0;3.0;4.0;4.0;6.0;7.0;4.0;4.0;4.0;8.0;8.0;4.5;5.0;4.0;6.8;7.0;7.0;8.0;7.0;5.8;4.0;5.0;4.0;3.0;3.3;3.0;4.0;3.0;4.4;5.0;4.0;4.0;4.0;5.0;6.7;7.0;6.0;7.0
2012;18;8.0;7.0;6.0;5.0;4.0;5.0;6.0;4.0;4.0;7.0;7.0;3.5;3.0;4.0;6.0;6.0;5.0;6.0;4.0;7.0;7.0;6.0;9.0;9.0;5.0;3.7;4.0;4.0;3.0;3.3;3.0;4.0;3.0;5.6;6.0;7.0;4.0;6.0;5.0;7.0;7.0;7.0;7.0
2014;18;8.0;6.0;5.0;5.0;3.0;5.0;6.0;4.0;4.0;6.0;6.0;4.0;4.0;4.0;7.0;7.0;5.0;6.0;4.0;7.1;7.0;7.0;9.0;8.0;5.4;3.3;3.0;4.0;3.0;3.3;3.0;4.0;3.0;5.4;6.0;6.0;4.0;6.0;5.0;6.7;7.0;6.0;7.0
2020;18;4.0;2.0;3.0;4.0;3.0;3.0;3.0;4.0;4.0;6.0;7.0;4.0;4.0;4.0;8.0;8.0;5.0;6.0;4.0;6.6;7.0;7.0;8.0;6.0;5.8;4.0;5.0;4.0;3.0;3.7;3.0;5.0;3.0;4.8;6.0;4.0;4.0;5.0;5.0;7.0;7.0;7.0;7.0
2016;18;6.0;6.0;5.0;5.0;3.0;4.0;5.0;4.0;4.0;6.0;6.0;4.0;4.0;4.0;7.0;7.0;5.0;6.0;4.0;7.3;7.0;8.0;9.0;8.0;5.5;3.7;3.0;5.0;3.0;3.3;3.0;4.0;3.0;5.0;5.0;6.0;4.0;5.0;5.0;6.7;7.0;6.0;7.0
2022;18;4.0;2.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;7.0;6.0;4.0;4.0;4.0;7.0;7.0;5.0;6.0;4.0;6.6;7.0;7.0;8.0;6.0;5.9;4.0;4.0;5.0;3.0;4.0;4.0;5.0;3.0;4.4;6.0;4.0;4.0;4.0;4.0;7.3;7.0;7.0;8.0
2010;20;2.0;2.0;2.0;4.0;4.0;2.0;2.0;7.0;7.0;5.0;4.0;5.5;6.0;5.0;6.0;6.0;5.5;6.0;5.0;4.5;6.0;3.0;5.0;1.0;5.0;3.3;4.0;3.0;3.0;4.7;3.0;6.0;5.0;3.0;2.0;2.0;4.0;3.0;4.0;4.0;4.0;3.0;5.0
2018;20;3.0;3.0;3.0;4.0;5.0;3.0;2.0;7.0;7.0;5.0;5.0;6.0;6.0;6.0;4.0;4.0;5.5;6.0;5.0;4.1;5.0;3.0;4.0;1.0;4.8;4.0;4.0;4.0;4.0;4.3;4.0;5.0;4.0;3.2;2.0;2.0;5.0;3.0;4.0;4.7;4.0;4.0;6.0
2012;20;2.0;2.0;2.0;4.0;4.0;2.0;2.0;6.0;6.0;4.0;3.0;5.5;6.0;5.0;6.0;6.0;5.5;6.0;5.0;4.7;6.0;3.0;5.0;2.0;5.3;2.7;3.0;3.0;2.0;4.3;4.0;5.0;4.0;2.4;2.0;2.0;3.0;2.0;3.0;3.3;4.0;2.0;4.0
2014;20;2.0;2.0;2.0;4.0;4.0;2.0;2.0;7.0;7.0;3.0;3.0;5.5;6.0;5.0;5.0;5.0;5.5;6.0;5.0;4.5;6.0;3.0;5.0;1.0;5.3;2.7;3.0;3.0;2.0;4.3;4.0;5.0;4.0;2.4;2.0;2.0;3.0;2.0;3.0;3.3;4.0;2.0;4.0
2020;20;3.0;3.0;3.0;4.0;5.0;3.0;2.0;7.0;7.0;6.0;5.0;6.0;6.0;6.0;5.0;5.0;5.5;6.0;5.0;4.4;6.0;3.0;5.0;1.0;4.6;4.0;4.0;4.0;4.0;4.3;4.0;5.0;4.0;3.6;3.0;2.0;4.0;4.0;5.0;5.0;5.0;4.0;6.0
2016;20;2.0;2.0;2.0;3.0;4.0;2.0;2.0;7.0;7.0;3.0;3.0;6.0;6.0;6.0;4.0;4.0;5.5;6.0;5.0;4.4;6.0;3.0;4.0;1.0;5.3;3.3;3.0;4.0;3.0;4.0;4.0;5.0;3.0;2.8;2.0;2.0;4.0;2.0;4.0;3.7;4.0;2.0;5.0
2022;20;2.0;2.0;2.0;3.0;4.0;2.0;2.0;7.0;7.0;5.0;4.0;6.0;6.0;6.0;5.0;5.0;6.0;6.0;6.0;4.9;6.0;6.0;4.0;1.0;5.4;3.3;3.0;4.0;3.0;3.7;3.0;4.0;4.0;2.2;2.0;2.0;2.0;2.0;3.0;3.3;3.0;3.0;4.0
2010;23;9.0;9.0;7.0;7.0;5.0;7.0;10.0;2.0;2.0;7.0;7.0;4.0;4.0;4.0;7.0;7.0;3.5;4.0;3.0;6.3;8.0;3.0;9.0;10.0;3.6;6.0;6.0;6.0;6.0;5.3;5.0;6.0;5.0;8.0;8.0;9.0;9.0;6.0;;8.7;8.0;9.0;9.0
2018;23;9.0;9.0;8.0;6.0;4.0;8.0;10.0;2.0;2.0;8.0;7.0;3.5;3.0;4.0;6.0;6.0;4.5;5.0;4.0;5.4;8.0;2.0;9.0;7.0;3.6;6.0;6.0;5.0;7.0;4.7;5.0;5.0;4.0;7.8;8.0;9.0;8.0;6.0;;7.7;7.0;8.0;8.0
2012;23;9.0;9.0;7.0;6.0;4.0;7.0;9.0;3.0;3.0;8.0;7.0;4.5;4.0;5.0;6.0;6.0;3.5;4.0;3.0;6.0;8.0;3.0;9.0;9.0;3.8;5.3;5.0;5.0;6.0;5.0;5.0;5.0;5.0;8.0;8.0;9.0;9.0;6.0;;8.3;7.0;9.0;9.0
2014;23;8.0;9.0;7.0;7.0;4.0;7.0;8.0;3.0;3.0;7.0;7.0;4.5;4.0;5.0;6.0;6.0;4.5;5.0;4.0;5.8;8.0;2.0;9.0;9.0;3.5;5.7;5.0;5.0;7.0;4.7;4.0;6.0;4.0;8.0;8.0;9.0;9.0;6.0;;8.3;7.0;9.0;9.0
