year;country_id;ranking_status_index;status_index;ranking_democracy_status;democracy_status;stateness;monopoly_on_the_use_of_force;state_identity;no_interference_of_religious_dogmas;basic_administration;political_participation;association_/_assembly_rights;freedom_of_expression;rule_of_law;civil_rights;stability_of_democratic_institutions;political_and_social_integration;party_system;interest_groups;approval_of_democracy;social_capital;ranking_economy_status;economy_status;organization_of_the_market_and_competition;market_organization;competition_policy;liberalization_of_foreign_trade;banking_system;monetary_and_fiscal_stability;private_property;property_rights;private_enterprise;ranking_governance_index;governance_index;civil_society_traditions;governance_performance;democracy_status_08;democracy_status_10;trend_democracy;economy_status_08;economy_status_10;trend_economy;governance_index_08;governance_index_10;trend_governance;state_failure;total;democracy/autocracy;status_index_score;status_index_category;status_index_status;democracy_status_score;democracy_status_category;democracy_status_status;economy_status_score;economy_status_category;economy_status_status;governance_index_score;governance_index_category;governance_index_status;level_of_difficulty_score;level_of_difficulty_category;level_of_difficulty_status;governance_performance_score;governance_performance_category;governance_performance_status
2014;2;38.0;6.55;43.0;6.7;8.5;9.0;8.0;10.0;7.0;7.0;8.0;7.0;5.0;8.0;6.5;6.5;6.0;6.0;8.0;6.0;41.0;6.39;7.8;6.0;8.0;10.0;7.0;8.0;7.0;7.0;7.0;57.0;5.17;7.0;5.88;7.25;6.7;-0.55;6.79;6.39;-0.39;5.44;5.17;-0.27;8.0;0.0;Dem.;6.55;3.0;Limited;6.7;2.0;Defective democracy;6.39;3.0;Limited;5.17;3.0;Moderate;4.5;3.0;Moderate;5.88;3.0;Fair
2020;2;28.0;6.84;33.0;7.15;9.0;10.0;9.0;10.0;7.0;7.8;10.0;7.0;5.5;8.0;7.0;6.5;6.0;6.0;8.0;6.0;33.0;6.54;8.3;7.0;8.0;10.0;8.0;7.5;6.5;6.0;7.0;29.0;5.95;7.0;6.78;7.05;7.15;0.1;6.61;6.54;-0.07;6.02;5.95;-0.08;8.5;0.0;Dem.;6.84;3.0;Limited;7.15;2.0;Defective democracies;6.54;3.0;Limited;5.95;2.0;Good;4.5;3.0;Moderate;6.78;2.0;Sound
2016;2;33.0;6.71;36.0;6.95;9.0;10.0;9.0;10.0;7.0;7.3;8.0;7.0;5.0;8.0;7.0;6.5;6.0;6.0;8.0;6.0;37.0;6.46;8.3;7.0;8.0;10.0;8.0;7.5;7.0;7.0;7.0;38.0;5.77;7.0;6.52;6.7;6.95;0.25;6.39;6.46;0.07;5.17;5.77;0.6;8.5;0.0;Dem.;6.71;3.0;Limited;6.95;2.0;Defective democracy;6.46;3.0;Limited;5.77;2.0;Good;4.8;3.0;Moderate;6.52;2.0;Sound
2022;2;28.0;6.68;27.0;7.1;9.0;10.0;9.0;10.0;7.0;7.8;10.0;7.0;5.5;8.0;6.5;6.8;6.0;6.0;8.0;7.0;35.0;6.25;8.3;7.0;8.0;10.0;8.0;7.0;6.0;6.0;6.0;18.0;6.28;6.0;7.17;7.15;7.1;-0.05;6.54;6.25;-0.29;5.95;6.28;0.34;8.5;0.0;Dem.;6.68;3.0;Limited;7.1;2.0;Defective democracies;6.25;3.0;Limited;6.28;2.0;Good;4.5;3.0;Moderate;7.17;2.0;Sound
2010;3;83.0;4.86;84.0;4.37;7.0;7.0;8.0;6.0;7.0;4.3;5.0;6.0;4.3;5.0;2.0;4.3;4.0;5.0;;4.0;70.0;5.36;4.5;4.0;4.0;6.0;4.0;6.5;5.0;6.0;4.0;101.0;3.94;6.0;4.33;4.27;4.37;0.1;5.18;5.36;0.18;3.88;3.94;0.06;7.0;2.0;Aut.;4.86;4.0;Very limited;4.37;4.0;Moderate autocracy;5.36;3.0;Limited;3.94;4.0;Weak;5.9;3.0;Moderate;4.33;4.0;Flawed
2018;3;83.0;4.98;79.0;4.75;7.5;8.0;8.0;6.0;8.0;4.5;5.0;6.0;4.3;5.0;2.5;5.0;4.0;6.0;;5.0;75.0;5.21;4.5;4.0;4.0;6.0;4.0;6.5;4.5;5.0;4.0;76.0;4.55;5.0;5.1;4.8;4.75;-0.05;5.43;5.21;-0.21;4.5;4.55;0.05;8.0;2.0;Aut.;4.98;4.0;Very limited;4.75;4.0;Moderate autocracy;5.21;3.0;Limited;4.55;3.0;Moderate;5.2;3.0;Moderate;5.1;3.0;Fair
2012;3;86.0;4.78;89.0;4.3;7.0;7.0;8.0;6.0;7.0;4.3;5.0;6.0;4.3;5.0;2.0;4.0;4.0;4.0;;4.0;72.0;5.25;3.8;3.0;3.0;5.0;4.0;6.5;4.5;5.0;4.0;98.0;4.01;6.0;4.43;4.37;4.3;-0.07;5.36;5.25;-0.11;3.94;4.01;0.07;7.0;2.0;Aut.;4.78;4.0;Very limited;4.3;4.0;Moderate autocracy;5.25;3.0;Limited;4.01;4.0;Weak;5.7;3.0;Moderate;4.43;4.0;Flawed
2014;3;79.0;5.11;79.0;4.8;7.3;7.0;8.0;6.0;8.0;5.0;6.0;6.0;4.3;5.0;2.5;5.0;4.0;6.0;;5.0;70.0;5.43;4.5;4.0;4.0;6.0;4.0;7.0;4.5;5.0;4.0;77.0;4.58;5.0;5.1;4.3;4.8;0.5;5.25;5.43;0.18;4.01;4.58;0.56;7.5;1.0;Aut.;5.11;4.0;Very limited;4.8;4.0;Moderate autocracy;5.43;3.0;Limited;4.58;3.0;Moderate;5.4;3.0;Moderate;5.1;3.0;Fair
2020;3;83.0;5.03;80.0;4.7;7.5;8.0;8.0;6.0;8.0;4.3;5.0;5.0;4.3;5.0;2.5;5.0;4.0;6.0;;5.0;75.0;5.36;4.0;4.0;3.0;5.0;4.0;7.0;5.0;5.0;5.0;86.0;4.41;5.0;4.93;4.75;4.7;-0.05;5.21;5.36;0.14;4.55;4.41;-0.15;8.0;2.0;Aut.;5.03;4.0;Very limited;4.7;4.0;Moderate autocracies;5.36;3.0;Limited;4.41;3.0;Moderate;5.2;3.0;Moderate;4.93;4.0;Flawed
2016;3;77.0;5.11;78.0;4.8;7.3;7.0;8.0;6.0;8.0;4.5;5.0;6.0;4.3;5.0;3.0;5.0;4.0;6.0;;5.0;70.0;5.43;4.5;4.0;4.0;6.0;4.0;7.0;4.5;5.0;4.0;79.0;4.5;5.0;5.0;4.8;4.8;0.0;5.43;5.43;0.0;4.58;4.5;-0.07;7.5;2.0;Aut.;5.11;4.0;Very limited;4.8;4.0;Moderate autocracy;5.43;3.0;Limited;4.5;3.0;Moderate;5.5;3.0;Moderate;5.0;3.0;Fair
2022;3;73.0;5.04;76.0;4.65;7.8;9.0;8.0;6.0;8.0;3.8;5.0;4.0;4.3;5.0;2.5;5.0;4.0;5.0;;6.0;68.0;5.43;4.5;4.0;4.0;6.0;4.0;6.5;5.0;5.0;5.0;76.0;4.67;5.0;5.23;4.7;4.65;-0.05;5.36;5.43;0.07;4.41;4.67;0.27;8.5;2.0;Aut.;5.04;4.0;Very limited;4.65;4.0;Moderate autocracies;5.43;3.0;Limited;4.67;3.0;Moderate;5.2;3.0;Moderate;5.23;3.0;Fair
2010;6;92.0;4.56;78.0;4.87;8.0;7.0;8.0;10.0;7.0;5.0;5.0;6.0;4.0;4.0;3.0;4.3;4.0;3.0;;6.0;100.0;4.25;3.8;3.0;2.0;5.0;5.0;6.0;4.5;4.0;5.0;97.0;4.03;8.0;4.35;3.97;4.87;0.9;3.68;4.25;0.57;3.11;4.03;0.91;7.0;1.0;Aut.;4.56;4.0;Very limited;4.87;4.0;Moderate autocracy;4.25;4.0;Very limited;4.03;4.0;Weak;6.7;2.0;Substantial;4.35;4.0;Flawed
2018;6;105.0;3.94;87.0;4.2;7.5;8.0;8.0;10.0;4.0;3.0;3.0;4.0;3.0;4.0;2.5;5.0;5.0;5.0;;5.0;108.0;3.68;3.8;4.0;2.0;5.0;4.0;6.0;4.0;4.0;4.0;101.0;3.6;7.0;3.98;4.25;4.2;-0.05;4.07;3.68;-0.39;3.61;3.6;-0.02;6.0;4.0;Aut.;3.94;5.0;Failed;4.2;4.0;Moderate autocracy;3.68;4.0;Very limited;3.6;4.0;Weak;5.6;3.0;Moderate;3.98;4.0;Flawed
2012;6;83.0;4.92;78.0;4.88;8.0;8.0;8.0;10.0;6.0;5.3;6.0;6.0;3.5;4.0;3.0;4.7;4.0;4.0;;6.0;82.0;4.96;4.3;3.0;3.0;5.0;6.0;7.0;4.5;4.0;5.0;91.0;4.18;7.0;4.53;4.87;4.88;0.02;4.25;4.96;0.71;4.03;4.18;0.16;7.0;2.0;Aut.;4.92;4.0;Very limited;4.88;4.0;Moderate autocracy;4.96;4.0;Very limited;4.18;4.0;Weak;6.5;2.0;Substantial;4.53;4.0;Flawed
2014;6;96.0;4.44;84.0;4.55;7.3;8.0;8.0;9.0;4.0;4.0;4.0;5.0;3.5;5.0;3.0;5.0;6.0;4.0;;5.0;97.0;4.32;3.8;4.0;2.0;5.0;4.0;7.0;4.0;4.0;4.0;97.0;3.96;8.0;4.32;4.88;4.55;-0.33;4.96;4.32;-0.64;4.18;3.96;-0.23;6.0;3.0;Aut.;4.44;4.0;Very limited;4.55;4.0;Moderate autocracy;4.32;4.0;Very limited;3.96;4.0;Weak;6.3;3.0;Moderate;4.32;4.0;Flawed
2020;6;105.0;4.16;84.0;4.65;7.3;8.0;7.0;10.0;4.0;4.3;5.0;6.0;3.8;4.0;3.0;5.0;5.0;5.0;;5.0;114.0;3.68;4.3;4.0;3.0;5.0;5.0;5.5;3.5;3.0;4.0;92.0;4.23;7.0;4.65;4.2;4.65;0.45;3.68;3.68;0.0;3.6;4.23;0.63;6.0;3.0;Aut.;4.16;4.0;Very limited;4.65;4.0;Moderate autocracies;3.68;4.0;Very limited;4.23;4.0;Weak;5.9;3.0;Moderate;4.65;4.0;Flawed
2016;6;102.0;4.16;86.0;4.25;7.3;8.0;8.0;9.0;4.0;3.0;3.0;4.0;3.0;4.0;3.0;5.0;5.0;5.0;;5.0;106.0;4.07;3.5;4.0;2.0;4.0;4.0;6.5;4.0;4.0;4.0;107.0;3.61;7.0;3.98;4.55;4.25;-0.3;4.32;4.07;-0.25;3.96;3.61;-0.35;6.0;4.0;Aut.;4.16;4.0;Very limited;4.25;4.0;Moderate autocracy;4.07;4.0;Very limited;3.61;4.0;Weak;5.8;3.0;Moderate;3.98;4.0;Flawed
2022;6;101.0;4.21;79.0;4.6;7.3;8.0;7.0;10.0;4.0;4.0;4.0;6.0;3.8;4.0;3.0;5.0;5.0;5.0;;5.0;111.0;3.82;4.8;4.0;4.0;6.0;5.0;5.5;4.5;4.0;5.0;81.0;4.46;7.0;4.87;4.65;4.6;-0.05;3.68;3.82;0.14;4.23;4.46;0.23;6.0;3.0;Aut.;4.21;4.0;Very limited;4.6;4.0;Moderate autocracies;3.82;4.0;Very limited;4.46;3.0;Moderate;6.3;3.0;Moderate;4.87;4.0;Flawed
2010;10;28.0;7.25;25.0;7.9;9.0;8.0;10.0;10.0;8.0;9.5;10.0;8.0;5.8;7.0;8.0;7.3;6.0;7.0;9.0;7.0;39.0;6.61;6.3;6.0;5.0;7.0;7.0;6.0;7.0;7.0;7.0;49.0;5.56;4.0;6.53;7.85;7.9;0.05;6.82;6.61;-0.21;5.91;5.56;-0.35;8.0;0.0;Dem.;7.25;2.0;Advanced;7.9;2.0;Defective democracy;6.61;3.0;Limited;5.56;3.0;Moderate;3.3;4.0;Minor;6.53;2.0;Sound
2018;10;23.0;7.27;19.0;8.0;9.0;8.0;10.0;10.0;8.0;9.0;10.0;9.0;7.0;7.0;7.5;7.5;7.0;7.0;9.0;7.0;35.0;6.54;6.8;7.0;6.0;7.0;7.0;7.0;7.5;7.0;8.0;26.0;6.0;4.0;7.1;7.55;8.0;0.45;5.75;6.54;0.79;4.78;6.0;1.22;8.0;0.0;Dem.;7.27;2.0;Advanced;8.0;1.0;Democracy in consolidation;6.54;3.0;Limited;6.0;2.0;Good;3.0;4.0;Minor;7.1;2.0;Sound
2012;10;33.0;6.95;31.0;7.55;9.0;8.0;10.0;10.0;8.0;8.8;10.0;8.0;5.8;7.0;7.0;7.3;6.0;7.0;9.0;7.0;44.0;6.36;6.0;6.0;5.0;6.0;7.0;5.5;7.0;7.0;7.0;59.0;5.28;4.0;6.18;7.9;7.55;-0.35;6.61;6.36;-0.25;5.56;5.28;-0.27;8.0;0.0;Dem.;6.95;3.0;Limited;7.55;2.0;Defective democracy;6.36;3.0;Limited;5.28;3.0;Moderate;3.4;4.0;Minor;6.18;2.0;Sound
2014;10;34.0;6.76;26.0;7.55;9.0;8.0;10.0;10.0;8.0;8.8;10.0;8.0;5.8;7.0;7.0;7.3;6.0;7.0;9.0;7.0;52.0;5.96;5.3;6.0;5.0;4.0;6.0;5.0;6.5;6.0;7.0;61.0;5.01;4.0;5.92;7.55;7.55;0.0;6.36;5.96;-0.39;5.28;5.01;-0.27;8.0;0.0;Dem.;6.76;3.0;Limited;7.55;2.0;Defective democracy;5.96;3.0;Limited;5.01;3.0;Moderate;3.1;4.0;Minor;5.92;3.0;Fair
2020;10;19.0;7.29;16.0;8.15;9.0;8.0;10.0;10.0;8.0;9.0;10.0;9.0;7.5;7.0;8.0;7.3;7.0;7.0;8.0;7.0;37.0;6.43;6.5;6.0;6.0;7.0;7.0;7.0;7.5;7.0;8.0;23.0;6.1;4.0;7.27;8.0;8.15;0.15;6.54;6.43;-0.11;6.0;6.1;0.11;8.0;0.0;Dem.;7.29;2.0;Advanced;8.15;1.0;Democracies in consolidation;6.43;3.0;Limited;6.1;2.0;Good;2.8;4.0;Minor;7.27;2.0;Sound
2016;10;34.0;6.65;28.0;7.55;9.0;8.0;10.0;10.0;8.0;8.8;10.0;8.0;5.8;7.0;7.0;7.3;6.0;7.0;9.0;7.0;64.0;5.75;5.3;5.0;5.0;5.0;6.0;4.5;6.5;6.0;7.0;71.0;4.78;4.0;5.67;7.55;7.55;0.0;5.96;5.75;-0.21;5.01;4.78;-0.23;8.0;0.0;Dem.;6.65;3.0;Limited;7.55;2.0;Defective democracy;5.75;3.0;Limited;4.78;3.0;Moderate;2.9;4.0;Minor;5.67;3.0;Fair
2022;10;27.0;6.73;19.0;7.7;9.0;8.0;10.0;10.0;8.0;8.8;9.0;9.0;6.5;7.0;7.0;7.3;7.0;7.0;8.0;7.0;57.0;5.75;6.3;6.0;6.0;7.0;6.0;5.0;7.0;7.0;7.0;40.0;5.52;4.0;6.5;8.15;7.7;-0.45;6.43;5.75;-0.68;6.1;5.52;-0.58;8.0;0.0;Dem.;6.73;3.0;Limited;7.7;2.0;Defective democracies;5.75;3.0;Limited;5.52;3.0;Moderate;3.2;4.0;Minor;6.5;2.0;Sound
2010;11;63.0;5.71;77.0;4.92;8.8;9.0;9.0;9.0;8.0;4.0;5.0;4.0;4.5;6.0;2.0;5.3;6.0;5.0;;5.0;40.0;6.5;6.5;7.0;4.0;9.0;6.0;8.0;8.0;8.0;8.0;85.0;4.38;4.0;5.0;6.0;4.92;-1.08;6.82;6.5;-0.32;5.17;4.38;-0.79;8.5;2.0;Aut.;5.71;3.0;Limited;4.92;4.0;Moderate autocracy;6.5;3.0;Limited;4.38;3.0;Moderate;4.4;4.0;Minor;5.0;3.0;Fair
2018;11;61.0;5.58;72.0;5.12;8.5;9.0;9.0;9.0;7.0;4.3;5.0;5.0;4.5;5.0;3.0;5.3;5.0;6.0;;5.0;47.0;6.04;6.3;6.0;4.0;8.0;7.0;7.5;7.5;7.0;8.0;85.0;4.25;5.0;4.85;5.23;5.12;-0.12;5.89;6.04;0.14;4.31;4.25;-0.06;8.0;2.0;Aut.;5.58;3.0;Limited;5.12;4.0;Moderate autocracy;6.04;3.0;Limited;4.25;4.0;Weak;4.4;4.0;Minor;4.85;4.0;Flawed
2012;11;65.0;5.59;71.0;5.25;8.5;9.0;9.0;9.0;7.0;4.0;5.0;4.0;4.8;6.0;3.0;6.0;6.0;6.0;;6.0;55.0;5.93;6.5;7.0;4.0;9.0;6.0;7.0;8.0;8.0;8.0;75.0;4.68;5.0;5.35;4.92;5.25;0.33;6.5;5.93;-0.57;4.38;4.68;0.31;8.0;2.0;Aut.;5.59;3.0;Limited;5.25;4.0;Moderate autocracy;5.93;3.0;Limited;4.68;3.0;Moderate;4.4;4.0;Minor;5.35;3.0;Fair
2014;11;62.0;5.71;70.0;5.35;8.5;9.0;9.0;9.0;7.0;4.5;6.0;5.0;4.8;6.0;3.0;6.0;6.0;6.0;;6.0;48.0;6.07;6.5;7.0;4.0;9.0;6.0;7.0;8.0;8.0;8.0;69.0;4.84;5.0;5.55;5.25;5.35;0.1;5.93;6.07;0.14;4.68;4.84;0.15;8.0;2.0;Aut.;5.71;3.0;Limited;5.35;4.0;Moderate autocracy;6.07;3.0;Limited;4.84;3.0;Moderate;4.2;4.0;Minor;5.55;3.0;Fair
2020;11;35.0;6.69;34.0;7.1;8.8;9.0;10.0;9.0;7.0;8.3;9.0;9.0;6.0;7.0;6.5;6.0;5.0;7.0;6.0;6.0;43.0;6.29;6.5;6.0;5.0;8.0;7.0;8.0;7.5;7.0;8.0;55.0;5.29;4.0;6.12;5.12;7.1;1.98;6.04;6.29;0.25;4.25;5.29;1.04;8.0;0.0;Dem.;6.69;3.0;Limited;7.1;2.0;Defective democracies;6.29;3.0;Limited;5.29;3.0;Moderate;3.9;4.0;Minor;6.12;2.0;Sound
2016;11;64.0;5.56;74.0;5.23;8.8;10.0;9.0;9.0;7.0;4.5;5.0;5.0;4.3;5.0;3.0;5.7;5.0;6.0;;6.0;56.0;5.89;6.3;6.0;4.0;8.0;7.0;7.0;8.0;8.0;8.0;84.0;4.31;5.0;4.92;5.35;5.23;-0.12;6.07;5.89;-0.18;4.84;4.31;-0.53;8.5;2.0;Aut.;5.56;3.0;Limited;5.23;4.0;Moderate autocracy;5.89;3.0;Limited;4.31;3.0;Moderate;4.4;4.0;Minor;4.92;4.0;Flawed
2022;11;37.0;6.43;39.0;6.75;8.5;8.0;10.0;9.0;7.0;7.8;9.0;8.0;5.8;6.0;6.0;5.8;5.0;6.0;6.0;6.0;40.0;6.11;6.8;6.0;6.0;8.0;7.0;7.5;7.5;7.0;8.0;63.0;4.93;4.0;5.67;7.1;6.75;-0.35;6.29;6.11;-0.18;5.29;4.93;-0.36;7.5;0.0;Dem.;6.43;3.0;Limited;6.75;2.0;Defective democracies;6.11;3.0;Limited;4.93;3.0;Moderate;4.1;4.0;Minor;5.67;3.0;Fair
2010;15;84.0;4.85;101.0;3.92;7.0;6.0;6.0;9.0;7.0;3.3;4.0;3.0;4.0;4.0;2.0;3.3;3.0;4.0;;3.0;61.0;5.79;5.5;5.0;5.0;6.0;6.0;6.5;6.0;5.0;7.0;94.0;4.07;7.0;4.55;3.8;3.92;0.12;5.21;5.79;0.57;3.85;4.07;0.22;6.5;3.0;Aut.;4.85;4.0;Very limited;3.92;5.0;Hard-line autocracy;5.79;3.0;Limited;4.07;4.0;Weak;5.3;3.0;Moderate;4.55;4.0;Flawed
2018;15;100.0;4.13;107.0;3.43;7.3;5.0;8.0;9.0;7.0;2.3;3.0;2.0;3.0;3.0;2.0;2.7;2.0;3.0;;3.0;85.0;4.82;4.3;4.0;3.0;4.0;6.0;6.0;4.5;4.0;5.0;97.0;3.86;8.0;4.35;3.48;3.43;-0.05;5.39;4.82;-0.57;3.76;3.86;0.1;6.0;6.0;Aut.;4.13;4.0;Very limited;3.43;5.0;Hard-line autocracy;4.82;4.0;Very limited;3.86;4.0;Weak;5.0;3.0;Moderate;4.35;4.0;Flawed
2012;15;84.0;4.85;93.0;4.02;7.5;7.0;7.0;9.0;7.0;3.3;4.0;4.0;4.0;4.0;2.0;3.3;3.0;4.0;;3.0;63.0;5.68;4.8;4.0;4.0;5.0;6.0;6.5;5.5;4.0;7.0;96.0;4.02;7.0;4.53;3.92;4.02;0.1;5.79;5.68;-0.11;4.07;4.02;-0.05;7.0;2.0;Aut.;4.85;4.0;Very limited;4.02;4.0;Moderate autocracy;5.68;3.0;Limited;4.02;4.0;Weak;4.9;3.0;Moderate;4.53;4.0;Flawed
2014;15;88.0;4.71;100.0;3.92;7.5;7.0;7.0;9.0;7.0;3.0;4.0;3.0;3.8;4.0;2.0;3.3;3.0;4.0;;3.0;67.0;5.5;4.5;4.0;3.0;5.0;6.0;6.5;5.5;4.0;7.0;97.0;3.96;7.0;4.45;4.02;3.92;-0.1;5.68;5.5;-0.18;4.02;3.96;-0.06;7.0;4.0;Aut.;4.71;4.0;Very limited;3.92;5.0;Hard-line autocracy;5.5;3.0;Limited;3.96;4.0;Weak;5.1;3.0;Moderate;4.45;4.0;Flawed
2020;15;98.0;4.34;113.0;3.43;7.3;5.0;8.0;9.0;7.0;2.3;3.0;2.0;3.0;3.0;2.0;2.7;2.0;3.0;;3.0;76.0;5.25;4.8;4.0;4.0;5.0;6.0;7.0;4.5;4.0;5.0;98.0;4.0;8.0;4.48;3.43;3.43;0.0;4.82;5.25;0.43;3.86;4.0;0.14;6.0;6.0;Aut.;4.34;4.0;Very limited;3.43;5.0;Hard-line autocracies;5.25;3.0;Limited;4.0;4.0;Weak;5.1;3.0;Moderate;4.48;4.0;Flawed
